Student no.,A1,A2,A3,A 4,Test 1,Test 2 (Original),Test 2 Adjusted (2% Bonus),Make-up Test,Test 3,Test 3 Extra Bonus
0361390,100,85,94,94,78.3,91.7,93.7,0,81.4,84.4
0241008,100,100,90,79,85,51.7,53.7,72.5,55.7,58.7
0371331,100,98,90,100,85,51.7,53.7,85,72.9,75.9
0266558,100,80,28,76,81.7,85,87,77.5,71.4,74.4
0442012,100,100,64,0,61.7,53.3,55.3,57.5,0,0
0382372,100,80,75,0,85,51.7,53.7,77.5,57.1,60.1
0386255,100,100,90,4,68.3,63.3,65.3,75,51.4,54.4
0354688,87.5,68,90,100,68.3,55,57,67.5,77.1,80.1
0242113,100,85,87,100,96.7,86.7,88.7,95,82.9,85.9
0369126,100,0,81,97,81.7,71.7,73.7,95,62.9,65.9
0268024,100,0,0,0,76.7,63.4,65.4,0,0,0
0368424,0,98,50,100,83.3,90,92,90,88.6,91.6
0250759,0,0,0,0,88.3,58.3,60.3,0,60,63
0344514,85,0,0,0,55,36.7,38.7,55,0,0
0341154,85,97,75,75,73.3,63.3,65.3,70,57.1,60.1
0146331,92.5,0,81,88,80,90,92,95,82.9,85.9
0376492,0,53,0,0,45,55,57,0,24.3,27.3
9809306,0,0,0,0,48.3,31.6,33.6,0,0,0
0441597,60.5,83,70,11,55,50,52,60,48.6,51.6
0376975,55,100,90,100,86.7,56.6,58.6,65,74.3,77.3
0340636,100,80,89,100,73.3,41.7,43.7,90,74.3,77.3
0365969,100,99,51,100,63.3,75,77,66.7,57.1,60.1
0372279,90,85,80,69,86.7,71.7,73.7,0,58.6,61.6
0441910,0,0,0,0,0,0,0,0,0,0
0148925,90,99,100,100,96.7,88.4,90.4,87.5,72.9,75.9
0050871,87.5,85,75,0,71.7,71.7,73.7,67.5,71.4,74.4
0367338,100,100,88,100,86.7,71.6,73.6,90,62.9,65.9
0267593,100,99,88,100,80,85,87,95,85.7,88.7
0370115,100,100,86,100,85,63.4,65.4,77.5,70,73
0366441,100,100,80,100,88.3,81.7,83.7,77.8,85.7,88.7
0150355,100,0,80,82,88.3,0,0,75,72.9,75.9
0044629,100,98,90,74,81.7,80,82,0,55.7,58.7
0369952,92.5,94,0,87,76.7,36.7,38.7,67.5,52.9,55.9
9703020,100,99,80,60,55,53.3,55.3,75,60,63
0342278,42.5,0,0,0,45,0,0,0,0,0
0367322,87.5,0,0,0,61.7,35,37,0,32.9,35.9
0442186,77.5,80,72,98,68.3,78.4,80.4,0,0,0
0042296,100,80,0,0,88.3,96.7,98.7,0,81.4,84.4
0351970,100,97,85,100,98.3,88.4,90.4,0,88.6,91.6
0355432,92.5,93,92,97,70,73.3,75.3,85,81.4,84.4
0358344,87.5,85,72,100,86.7,68.3,70.3,69.4,75.7,78.7
0145257,100,76,0,100,85,71.7,73.7,75,71.4,74.4
0353974,100,84,100,100,75,48.3,50.3,58.3,52.9,55.9
0385193,100,99,80,94,85,46.7,48.7,80,60,63
0356981,75,100,90,94,68.3,61.7,63.7,61.1,55.7,58.7
0369488,100,100,60,91,86.7,73.3,75.3,67.5,58.6,61.6
0158445,100,98,94,100,96.7,96.7,98.7,0,82.9,85.9
9619859,0,0,0,0,0,0,0,0,0,0
0361847,100,85,78,0,76.7,85,87,55,71.4,74.4
0371994,0,0,0,0,0,0,0,0,0,0
0264519,92.5,85,89,93,65,58.3,60.3,72.5,42.9,45.9
0367261,100,83,90,0,83.3,0,0,72.5,58.6,61.6
0346576,100,100,38,100,73.3,73.3,75.3,57.5,75.7,78.7
0382693,0,0,0,0,71.7,73.4,75.4,0,70,73
0354833,85,100,70,91,58.3,50,52,60,52.9,55.9
0240040,100,85,71,80,71.7,66.7,68.7,87.5,48.6,51.6
0340896,100,71,72,0,95,76.7,78.7,0,72.9,75.9
9910514,0,0,0,0,51.7,25,27,0,42.9,45.9
0362114,92.5,0,90,0,73.3,71.7,73.7,0,72.9,75.9
0380009,85,70,77,0,88.3,78.4,80.4,0,74.3,77.3
0369906,100,0,0,0,38.3,41.7,43.7,0,0,0
0358760,100,85,90,63,86.7,70,72,95,65.7,68.7
0352428,100,75,53,100,55,48.3,50.3,70,42.9,45.9
0153382,100,80,91,88,85,85,87,77.5,77.1,80.1
0356904,100,100,0,0,68.3,23.3,25.3,0,0,0
0142749,92.5,94,77,88,93.3,85,87,92.5,70,73
0145983,92.5,0,90,88,86.7,0,0,70,65.7,68.7
0343883,100,100,0,87,55,45,47,50,54.3,57.3
0257814,100,85,0,63,81.7,58.3,60.3,87.5,0,0
0380085,100,0,0,63,73.3,61.7,63.7,0,0,0
0382307,92.5,98,58,67,71.7,55,57,57.5,0,0
0254032,95,85,69,79,50,73.4,75.4,75,47.1,50.1
0441906,100,85,92,100,83.3,78.4,80.4,60,81.4,84.4
0244382,0,0,86,0,71.7,0,0,45,48.6,51.6
0357623,100,80,72,42,66.7,21.6,23.6,52.5,38.6,41.6
0368040,100,94,82,82,98.3,90,92,0,87.1,90.1
0280524,0,0,0,0,0,0,0,0,0,0
0260613,100,80,86,100,78.3,56.7,58.7,55,48.6,51.6
0355453,85,96,86,100,91.7,83.4,85.4,82.5,75.7,78.7
0244035,100,98,0,0,68.3,43.3,45.3,75,0,0
0044388,100,0,0,0,86.7,0,0,0,0,0
0180223,95,98,89,82,90,71.7,73.7,87.5,74.3,77.3
0241406,0,0,0,0,0,0,0,0,0,0
0358130,92.5,80,90,74,76.7,43.3,45.3,70,64.3,67.3
0341280,0,0,0,0,43.3,33.3,35.3,0,0,0
0280626,85,85,56,97,80,58.3,60.3,67.5,74.3,77.3
0340543,92.5,0,73,0,75,68.4,70.4,0,68.6,71.6
0359752,92.5,85,51,100,56.7,38.3,40.3,52.5,48.6,51.6
0374426,100,100,65,100,93.3,90,92,90,88.6,91.6
0364297,65,85,0,94,73.3,51.6,53.6,57.5,62.9,65.9
0259238,85,0,86,100,63.3,51.7,53.7,80,52.9,55.9
0372169,70,85,82,100,71.7,50,52,70,57.1,60.1
0143393,0,0,0,0,45,43.4,45.4,65,54.3,57.3
0386181,100,85,0,0,76.7,55,57,0,0,0
0267543,77.5,0,0,0,45,33.3,35.3,60,38.6,41.6
0367227,100,85,64,85,65,35,37,62.5,44.3,47.3
0343545,100,0,0,17,61.7,41.6,43.6,50,44.3,47.3
0358604,100,100,95,100,85,86.6,88.6,90,64.3,67.3
0361826,95,80,0,67,66.7,41.7,43.7,57.5,42.9,45.9
9943846,100,95.5,77,100,53.3,50,52,70,48.6,51.6
0353913,100,0,89,100,95,85,87,0,88.6,91.6
0361973,100,85,88,0,66.7,61.7,63.7,62.5,57.1,60.1
0441607,0,75,0,0,0,45,47,35,0,0
0356547,97.5,85,69,0,75,50,52,82.5,54.3,57.3
0373722,0,0,44,0,65,31.7,33.7,47.5,35.7,38.7
0240748,95,85,85,52,91.7,71.7,73.7,87.5,72.9,75.9
0180296,70,0,0,0,78.3,43.4,45.4,72.5,50,53
0143303,52.5,0,0,0,61.7,0,0,50,0,0
0162289,0,0,84,0,48.3,0,0,61.1,0,0
0367692,67.5,0,0,70,48.3,41.7,43.7,65,51.4,54.4
0266768,92.5,86,85,0,63.3,41.7,43.7,62.5,41.4,44.4
0384460,100,80,69,74,75,56.7,58.7,87.5,0,0
0162469,100,97,77,78,70,60,62,55,51.4,54.4
0343514,100,85,80,82,70,60,62,0,31.4,34.4
0263201,77.5,85,0,0,76.7,40,42,62.5,0,0
0249267,100,85,83,100,78.3,71.7,73.7,57.5,47.1,50.1
0146142,100,98,78,100,76.7,50,52,67.5,61.4,64.4
9429571,92.5,94,92,0,90,78.4,80.4,90,78.6,81.6
0355609,90,0,90,88,60,0,0,52.5,55.7,58.7
0363511,100,96,100,94,93.3,71.7,73.7,87.5,87.1,90.1
0361850,0,85,71,0,76.7,48.3,50.3,0,52.9,55.9
