,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,
College,Cip Code,Program Code,Program Name,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,College of Arts & Sciences,2287,1984,3291,3924,0,11486,5,74,699,0,212,990,12476,,,
College of Arts & Sciences,9.0102,000600,ORGANIZATIONAL COMMUNICATION ,,3,36,110,,149,,,,,,0, 149 ,,,College of Business Administration,1145,1061,2204,2941,1,7352,88,0,934,0,48,1070,8422,,,
College of Arts & Sciences,9.0102,000601,COMMUNICATION ,,,,,,0,,,5,,,5, 5 ,,,College of Education,380,390,831,1260,0,2861,252,145,981,67,308,1753,4614,,,
College of Arts & Sciences,9.0102,000616,COMMUNICATION-MASS COMM ,,,,,,0,,,57,,,57, 57 ,,,College of Engineering & Computer Science,1098,680,915,1737,0,4430,5,31,676,0,462,1174,5604,,,
College of Arts & Sciences,9.0102,000617,COMM-INTERPERSONAL COMM ,,,,,,0,,,16,,,16, 16 ,,,Rosen School of Hospitality Management,1089,899,1376,2005,0,5369,20,68,1199,0,76,1363,6732,,,
College of Arts & Sciences,9.0102,000699,COMM PENDING ,461,268,295,76,,"1,100",,,,,,0," 1,100 ",,,Graduate Studies - Interdisciplinary,157,181,304,308,0,950,0,0,39,0,0,39,989,,,
College of Arts & Sciences,9.0401,000602,JOURNALISM ,1,18,33,37,,89,,,,,,0, 89 ,,,School of Optics - CREOL,0,0,0,0,0,0,0,0,26,0,53,79,79,,,
College of Arts & Sciences,9.0701,000603,RADIO/TELEVISION ,,2,42,83,,127,,,,,,0, 127 ,,,Undeclared College,0,0,0,0,0,0,0,0,14,0,101,115,115,,,
College of Arts & Sciences,9.0701,000613,RADIO/TV-PRODUCTION ,,19,11,30,,60,,,,,,0, 60 ,,,Total,7381,5486,9033,12234,266,34400,1072,318,4568,67,1260,7285,41685,,,
College of Arts & Sciences,9.0701,000614,RADIO/TV-BRODCAST JOURNALISM ,1,30,15,18,,64,,,,,,0, 64 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,9.0701,000615,RADIO/TV-BRODCAST GENERALIST ,,11,14,16,,41,,,,,,0, 41 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,9.0903,000690,ADVERTISING/PUBLIC RELATIONS ,2,50,88,115,,255,,,,,,0, 255 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1312,000798,MUSIC EDUCATION - PENDING ,23,10,7,9,,49,,,,,,0, 49 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1312,000832,MUSIC EDUCATION ,2,5,7,27,,41,,,,,,0, 41 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1401,001130,TCH ENG TO SPEAKER OF OTH LANG,,,,,,0,,,41,,,41, 41 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1401,GC1131,TEACH ENGLISH AS FOREIGN LANG ,,,,,,0,,10,,,,10, 10 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1401,GC1132,ESOL ENDORSEMENT K-12 ,,,,,,0,,1,,,,1, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,16.0101,001101,FOREIGN LANGUAGE COMBINATION ,10,4,13,10,,37,1,,,,,1, 38 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,16.0901,001102,FRENCH ,1,3,2,11,,17,,,,,,0, 17 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,16.0905,001105,SPANISH ,2,1,6,21,,30,,,22,,,22, 52 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001501,ENGLISH ,36,14,23,10,,83,,,,,,0, 83 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001502,ENGLISH-LITERATURE ,12,27,52,75,,166,,,30,,,30, 196 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001507,ENGLISH-CREATIVE WRITING ,32,67,79,105,,283,,,25,,,25, 308 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001508,ENGLISH MA-RHETORIC & COMP ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001520,ENGLISH-TECHNICAL WRITING ,2,3,18,36,,59,,,23,,,23, 82 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,GC1503,PROFESSIONAL WRITING ,,,,,,0,,14,,,,14, 14 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.1001,001506,INTERPERSONAL COMMUNICATION ,,5,43,102,,150,,,,,,0, 150 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.1101,001521,TEXT AND TECHNOLOGY ,,,,,,0,,,,,27,27, 27 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004901,LIBERAL STUDIES ,,,,,,0,,,60,,,60, 60 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004902,LIBERAL STUDIES-GEN STUDIES ,26,94,393,656,,"1,169",,,,,,0," 1,169 ",,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004904,LIBERAL STUDIES-COMP INFO TECH,,2,7,19,,28,,,,,,0, 28 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004905,LIBERAL STUDIES-MAYA STUDIES ,,,,,,0,,,6,,,6, 6 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004906,LIBERAL STUDIES-ENVIRONMENTAL ,2,2,5,3,,12,,,,,,0, 12 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004907,LIB STUDIES-WOMEN'S STUDIES ,,,1,,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004911,LIBERAL STUDIES - M.S.OPTION ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004985,LIBERAL STUDIES - PENDING ,21,33,59,46,,159,,,,,,0, 159 ,,,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,GC4906,LIBERAL STUDIES-ARTS MGMT ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,,,
