,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,College,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.
College,Cip Code,Program Code,Program Name,Fresh,Soph,Junior,Senior,Non-Degree,Total Undergrad.,Non-Degree,Prof. Cert.,Master's,Specialist,Doctoral,Total Grad.,Total Univ.,,,,College of Arts & Sciences,1607,1836,3275,4163,0,10881,17,70,714,0,207,1008,11889
College of Arts & Sciences,9.0102,000600,ORGANIZATIONAL COMMUNICATION ,,1,25,107,,133,,,,,,0, 133 ,,,,College of Business Administration,807,1035,2088,3044,0,6974,86,0,893,0,43,1022,7996
College of Arts & Sciences,9.0102,000601,COMMUNICATION ,,,,,,0,,,4,,,4, 4 ,,,,College of Education,265,378,823,1309,0,2775,204,178,1018,69,358,1827,4602
College of Arts & Sciences,9.0102,000616,COMMUNICATION-MASS COMM ,,,,,,0,2,,57,,,59, 59 ,,,,College of Engineering & Computer Science,805,687,942,1777,0,4211,6,34,605,0,453,1098,5309
College of Arts & Sciences,9.0102,000617,COMM-INTERPERSONAL COMM ,,,,,,0,,,21,,,21, 21 ,,,,Rosen School of Hospitality Management,791,849,1465,2183,2,5290,30,69,1168,0,70,1337,6627
College of Arts & Sciences,9.0102,000699,COMM PENDING ,346,292,356,106,,"1,100",,,,,,0," 1,100 ",,,,Graduate Studies - Interdisciplinary,113,182,305,339,0,939,0,0,53,0,0,53,992
College of Arts & Sciences,9.0401,000602,JOURNALISM ,,14,25,31,,70,,,,,,0, 70 ,,,,School of Optics - CREOL,0,0,0,0,0,0,4,0,25,0,57,86,86
College of Arts & Sciences,9.0701,000603,RADIO/TELEVISION ,,,25,97,,122,,,,,,0, 122 ,,,,Undeclared College,0,0,0,0,0,0,2,0,10,0,99,111,111
College of Arts & Sciences,9.0701,000613,RADIO/TV-PRODUCTION ,,12,17,14,,43,,,,,,0, 43 ,,,,Total,5289,5385,9053,12859,249,32835,983,351,4486,69,1287,7176,40011
College of Arts & Sciences,9.0701,000614,RADIO/TV-BRODCAST JOURNALISM ,,20,24,9,,53,,,,,,0, 53 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,9.0701,000615,RADIO/TV-BRODCAST GENERALIST ,,7,15,8,,30,,,,,,0, 30 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,9.0903,000690,ADVERTISING/PUBLIC RELATIONS ,,32,74,115,,221,,,,,,0, 221 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1312,000798,MUSIC EDUCATION - PENDING ,13,8,9,11,,41,,,,,,0, 41 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1312,000832,MUSIC EDUCATION ,1,4,2,26,,33,,,,,,0, 33 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1401,001130,TCH ENG TO SPEAKER OF OTH LANG,,,,,,0,1,,47,,,48, 48 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1401,GC1131,TEACH ENGLISH AS FOREIGN LANG ,,,,,,0,,7,,,,7, 7 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,13.1401,GC1132,ESOL ENDORSEMENT K-12 ,,,,,,0,1,3,,,,4, 4 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,16.0101,001101,FOREIGN LANGUAGE COMBINATION ,8,4,11,11,,34,,,,,,0, 34 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,16.0901,001102,FRENCH ,1,2,2,7,,12,,,,,,0, 12 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,16.0905,001105,SPANISH ,1,1,3,22,,27,1,,25,,,26, 53 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001501,ENGLISH ,29,17,35,15,,96,,,,,,0, 96 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001502,ENGLISH-LITERATURE ,6,29,37,88,,160,,,29,,,29, 189 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001507,ENGLISH-CREATIVE WRITING ,16,60,74,108,,258,2,,25,,,27, 285 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001508,ENGLISH MA-RHETORIC & COMP ,,,,,,0,,,8,,,8, 8 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,001520,ENGLISH-TECHNICAL WRITING ,2,2,17,31,,52,,,23,,,23, 75 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.0101,GC1503,PROFESSIONAL WRITING ,,,,,,0,,13,,,,13, 13 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.1001,001506,INTERPERSONAL COMMUNICATION ,,3,32,96,,131,,,,,,0, 131 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,23.1101,001521,TEXT AND TECHNOLOGY ,,,,,,0,,,,,25,25, 25 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004901,LIBERAL STUDIES ,,,,,,0,1,,57,,,58, 58 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004902,LIBERAL STUDIES-GEN STUDIES ,8,81,351,646,,"1,086",,,,,,0," 1,086 ",,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004904,LIBERAL STUDIES-COMP INFO TECH,,2,6,17,,25,,,,,,0, 25 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004905,LIBERAL STUDIES-MAYA STUDIES ,,,,,,0,,,6,,,6, 6 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004906,LIBERAL STUDIES-ENVIRONMENTAL ,1,1,5,3,,10,,,,,,0, 10 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004907,LIB STUDIES-WOMEN'S STUDIES ,,,,1,,1,,,,,,0, 1 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004911,LIBERAL STUDIES - M.S.OPTION ,,,,,,0,,,3,,,3, 3 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,004985,LIBERAL STUDIES - PENDING ,9,26,71,60,,166,,,,,,0, 166 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0101,GC4906,LIBERAL STUDIES-ARTS MGMT ,,,,,,0,,2,,,,2, 2 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0103,001513,HUMANITIES ,6,4,23,24,,57,,,,,,0, 57 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,24.0103,001514,HUMANITIES-RELIGION STUDIES ,1,2,4,7,,14,,,,,,0, 14 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,26.0101,000401,BIOLOGY ,232,166,194,197,,789,1,,63,,,64, 853 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,26.0101,GC0420,CONSERVATION BIOLOGY ,,,,,,0,1,5,,,,6, 6 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001701,MATHEMATICS ,7,16,10,24,,57,,,,,,0, 57 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001704,MATH-ENG/PHYSICS APPLIED MATH ,1,,5,9,,15,,,,,,0, 15 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001705,MATH-COMPUTATIONAL APPLIED ,,1,1,1,,3,,,,,,0, 3 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0101,001706,MATHEMATICS-APPLIED MATH ,1,2,2,9,,14,,,,,,0, 14 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0301,001703,MATHEMATICAL SCIENCE ,,,,,,0,2,,10,,24,36, 36 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0301,001708,MATHEMATICS-INDUSTRIAL MATH ,,,,,,0,,,6,,,6, 6 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0301,001710,MATHEMATICAL SCIENCE ,,,,,,0,,,,,4,4, 4 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001702,STATISTICS ,4,1,3,19,,27,,,,,,0, 27 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001707,STATISTICS-ACTUARIAL SCIENCE ,,,1,5,,6,,,,,,0, 6 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001796,STATISTICAL COMP-ACTUARIAL SCI,,,,,,0,,,17,,,17, 17 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001797,STATISTICAL COMP-DATA MINING ,,,,,,0,,,18,,,18, 18 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,001798,STATISTICAL COMPUTING ,,,,,,0,,,14,,,14, 14 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,27.0501,GC1798,STATISTICS-SAS DATA MINING ,,,,,,0,,8,,,,8, 8 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,30.0601,000951,MODELING AND SIMULATION ,,,,,,0,,,9,,,9, 9 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,38.0101,001509,PHILOSOPHY ,7,11,23,25,,66,,,,,,0, 66 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0501,001905,CHEMISTRY ,28,19,35,39,,121,,,,,8,8, 129 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0599,001942,INDUSTRIAL CHEMISTRY ,,,,,,0,,,15,,,15, 15 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0599,001945,INDUSTRIAL CHEM - FORENSIC SCI,,,,,,0,,,10,,,10, 10 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0599,GC1946,INDUSTRIAL CHM-COMP FORENSICS ,,,,,,0,,22,,,,22, 22 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001901,PHYSICS-DEVICES ,,,1,1,,2,,,,,,0, 2 ,,,,,,,,,,,,,,,,,
College of Arts & Sciences,40.0801,001902,PHYSICS ,13,9,15,20,,57,1,,9,,38,48, 105 ,,,,,,,,,,,,,,,,,
