ID,Contestant,Contestant Last,Modeling Score,Modeling Place,Modeling Points,Strut Score,Strut Place,Solo Score,Solo Place,Total Points,Final Place
1,Ashley,Blackman,80.0,8,4,66.5,8,72.30,6,18,8
2,Samantha,Buxton,85.5,2,1,87.5,1,74.20,1,3,1
3,Sabrina ,Clayton,84.0,4,2,86.5,2,73.10,4,8,2
4,Laura,Delman,85.9,1,0.5,86.3,3,72.40,5,8.5,3
5,Angela ,Estrada,82.5,6,3,68.0,6,73.30,3,12,4
6,Kelleigh,Hall,82.8,5,2.5,62.7,9,70.40,7,18.5,9
7,Brenda ,Hines,80.4,7,3.5,73.4,4,63.30,9,16.5,7
8,Kayleigh ,Molloy,79.0,9,4.5,68.0,6,73.60,2,12.5,5
9,Jessi,Wells,84.4,3,1.5,71.0,5,69.60,8,14.5,6
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
