 ,,,,,,,,,,,,,,,,,
Journal Title,Publisher,price ,price,per yr,pages,pages,"10,000 Characters", Factor,cites*,cites,cites,rec cite,Pub,in 1986,OCLC,ever,Field
International Journal of Social Economics,MCB,"$7,619","$7,619",1516,,$5.03,,,34,$224.09,3,"$2,539.67",1974,500,20,70,Specialized
American Economic Review,Am Ec Assn,$47 ,$27 ,1867,3900,$0.03, $0.06 ,1.977,8999,$0.01,605,$0.08,1911,28000,1098,1681,General
Econometrica,Blackwell,$178,$59,1482,2992,$0.12, $0.40 ,2.072,7943,$0.02,230,$0.77,1932,6000,346,492,General
Journal of Political Economy ,Univ of Chicago Press,$159,$46,1669,2640,$0.10, $0.36 ,2.608,6697,$0.02,253,$0.63,1892,7000,737,1074,General
Quarterly Journal of Economics,MIT press,$148,$40,1467,2184,$0.10, $0.46 ,3.537,4138,$0.04,283,$0.52,1886,4800,660,961,General
Journal of Finance,Am. Finance Assn,$226,$80,2272,3036,$0.10, $0.33 ,2.137,3791,$0.06,327,$0.69,1945,9000,799,1019,Finance
Journal of American Statistical Assn,Am. Statistical Assn,$310,$119,1260,5664,$0.25, $0.43 ,,2800,$0.11,250,$1.24,1971,,487,761,Econometrics
Journal of Consumer Research,Univ of Chicago Press,$90,$45,439,5336,$0.21, $0.38 ,1.833,2762,$0.03,110,$0.82,1974,3200,536,679,Consumer Ec
Journal of Financial Economics,Elsevier,"$1,339",$95,1947,2838,$0.69, $2.42 ,1.767,2676,$0.50,182,$7.36,1974,1925,231,291,Finance
Economic Journal,Blackwell,$301,$72,1983,3036,$0.15, $0.50 ,1.312,2540,$0.12,248,$1.21,1890,6000,531,779,General
Journal of Economic Theory,Academic Press,"$1,400",,"2,000","2,684",$0.70, $2.61 ,0.742,2514,$0.56,173,$8.09,1969,,165,303,Theory
Journal of Econometrics,Elsevier,"$1,893",$160,1527,2178,$1.24, $5.69 ,1.179,2479,$0.76,231,$8.19,1973,1400,129,200,Econometrics
Review of Economic Studies,Blackwell,$180,$54,761,3626,$0.24, $0.65 ,1.328,2411,$0.07,77,$2.34,1933,2946,325,454,General
Review of Economics & Statistics,MIT press,$190,$48,733,5600,$0.26, $0.46 ,1.101,2331,$0.08,174,$1.09,1919,3800,523,787,General
Management Science,Inst for OR and MS,$334,$143,1175,4232,$0.28, $0.67 ,,2022,$0.17,262,$1.27,1954,10000,558,804,Management Science
Journal of Monetary Economics,Elsevier,"$1,010",$95,1346,3174,$0.75, $2.36 ,1.037,1860,$0.54,111,$9.10,1975,1500,186,240,Macroeconomics
American Journal of Agricultural Economics,Am. Ag. Econ Assn,$81 ,$40 ,1253,4368,$0.06, $0.15 ,0.424,1812,$0.04,133,$0.61,1918,6000,267,625,Ag Econ
