,,,
TAZ,PRICE_EXISTING,PRICE_2010,PRICE_2025
81,0.00,0.00,7.84
160,0.00,7.33,7.36
182,0.00,0.00,4.26
330,0.30,0.41,0.47
352,1.13,1.29,1.39
355,0.68,0.78,0.83
356,0.19,0.32,0.40
357,0.29,0.40,0.47
358,1.25,1.47,1.64
361,0.61,0.81,0.95
362,3.41,3.57,3.65
363,1.03,1.17,1.24
365,0.73,0.94,1.09
366,2.23,2.35,2.41
367,1.85,2.06,2.18
368,5.48,5.57,5.62
371,1.79,2.04,2.22
372,4.71,4.81,4.87
373,5.46,5.60,5.69
374,4.10,4.30,4.42
375,0.34,0.58,0.73
379,2.43,2.66,2.80
384,1.15,1.26,1.32
385,5.07,5.23,5.33
407,0.97,1.08,1.14
409,4.25,4.54,4.76
410,4.70,5.59,6.36
414,3.39,3.51,3.57
415,1.05,1.39,1.63
416,4.52,4.80,4.94
417,1.40,1.52,1.59
420,0.62,0.73,0.81
421,0.44,0.57,0.65
422,4.15,4.23,4.27
423,5.05,5.13,5.17
427,6.87,6.95,6.99
428,1.06,1.35,1.56
429,1.02,1.20,1.32
430,2.09,2.38,2.59
431,3.06,3.44,3.70
432,4.46,4.51,4.53
433,2.51,2.78,2.99
434,3.48,3.72,3.88
435,6.41,6.49,6.53
436,6.89,7.01,7.06
437,0.87,0.98,1.06
441,4.39,4.52,4.59
442,9.11,9.22,9.29
443,7.73,7.84,7.91
444,6.27,6.39,6.44
445,7.13,7.23,7.27
446,0.60,0.93,1.17
448,0.93,1.18,1.34
460,0.52,0.69,0.80
462,0.08,0.18,0.25
465,0.82,0.91,0.97
466,2.91,3.00,3.06
467,0.39,0.60,0.76
474,0.99,1.17,1.28
476,1.09,1.32,1.47
479,3.71,3.91,4.03
480,1.05,1.33,1.53
482,2.05,2.19,2.27
483,1.66,1.80,1.87
484,4.52,4.74,4.90
485,0.64,0.86,1.02
486,0.80,2.48,3.92
487,1.25,1.56,1.76
489,1.57,1.82,1.98
490,1.31,2.15,2.78
492,4.40,4.45,4.47
493,1.00,1.13,1.23
495,1.12,2.15,2.63
498,7.34,7.75,8.03
499,2.24,2.98,3.29
500,4.71,5.00,5.10
507,1.31,2.35,3.02
508,1.04,1.89,2.39
509,5.57,5.96,6.28
510,0.54,0.93,1.28
512,5.02,5.63,6.11
598,1.44,1.60,1.72
599,4.07,4.25,4.34
600,8.87,9.05,9.14
601,6.47,6.59,6.65
602,10.05,10.22,10.31
603,8.59,8.88,9.06
604,7.54,7.81,7.94
605,0.00,6.26,6.40
606,4.54,5.01,5.37
607,6.52,6.63,6.69
608,6.83,6.98,7.05
610,2.19,2.39,2.54
611,5.25,5.53,5.74
625,0.09,0.42,0.66
626,0.30,0.75,1.05
627,0.46,0.69,0.82
628,3.37,3.60,3.74
632,6.42,6.67,6.85
633,1.72,2.07,2.31
634,6.11,6.38,6.56
637,0.54,0.71,0.81
639,0.00,0.00,4.87
643,8.22,8.50,8.73
647,1.46,1.72,1.91
648,5.79,6.11,6.35
649,2.59,2.72,2.80
650,4.89,5.05,5.15
651,3.27,3.58,3.82
652,8.19,8.79,9.23
653,9.17,9.68,10.06
654,3.76,3.86,3.92
655,2.69,3.03,3.27
656,0.88,1.01,1.11
657,5.88,5.95,5.98
658,1.07,1.21,1.30
660,0.10,0.32,0.48
662,0.74,1.02,1.22
663,4.44,4.48,4.52
664,0.07,0.23,0.33
665,0.23,0.47,0.64
668,1.07,1.49,1.82
669,3.14,3.96,4.51
670,0.57,0.72,0.81
671,3.05,3.39,3.64
672,0.72,1.02,1.24
673,1.13,1.42,1.64
674,0.91,1.32,1.62
675,4.81,4.96,5.02
676,6.45,6.75,6.90
679,0.82,1.09,1.29
680,5.74,5.93,6.02
681,1.72,1.90,1.98
682,0.00,5.24,5.39
683,1.03,1.34,1.53
684,3.78,4.00,4.10
685,0.24,0.44,0.55
686,1.55,1.76,1.83
687,0.80,1.27,1.62
688,1.13,1.32,1.38
692,0.00,0.00,4.87
693,0.00,0.00,4.60
699,3.28,3.65,3.91
700,1.85,2.27,2.58
701,0.92,1.04,1.12
702,6.16,6.27,6.34
703,3.20,3.46,3.64
704,2.52,2.65,2.72
705,3.74,3.96,4.11
706,4.56,4.73,4.83
707,4.63,4.78,4.81
708,2.19,2.57,2.84
712,1.39,1.60,1.74
713,0.77,1.14,1.39
714,1.31,1.74,2.07
715,4.11,4.40,4.53
716,2.75,2.85,2.89
717,5.50,5.75,5.83
718,3.41,3.65,3.79
719,0.90,1.51,1.95
720,5.44,5.66,5.77
721,2.44,2.98,3.41
722,5.62,5.87,5.97
723,4.59,4.80,4.90
724,1.93,2.17,2.33
725,3.09,3.23,3.31
729,0.00,0.00,4.86
731,0.23,0.47,0.64
732,0.20,0.93,1.50
737,5.04,5.14,5.19
738,6.42,6.63,6.76
739,8.57,8.82,8.96
740,8.48,8.68,8.79
741,10.01,10.17,10.21
742,5.80,6.00,6.10
743,1.49,2.28,2.77
744,2.05,2.30,2.47
745,6.07,6.25,6.33
746,3.19,3.44,3.61
748,1.74,1.98,2.15
749,0.91,1.12,1.27
785,0.00,8.91,9.03
842,3.47,3.80,4.02
843,4.67,4.84,4.87
844,6.77,7.06,7.24
846,9.46,9.59,9.63
847,7.58,7.85,8.01
848,3.65,3.86,3.99
849,13.90,14.37,14.63
850,5.31,5.50,5.60
851,2.58,2.64,2.70
