,,,,,,,,,,,,,
,,,,,,,,,,,,,
C1,C2,C3,C4,Industrial Environmental Management,Industrial Hygiene,Environmental Policy,Environmental Law,Environmental Resource Management,Environmental Hydrology,Environmental Remediation,Environmental Systems Analysis,Environmental Education,
ISAT,*,ISAT 410:,Sustainable Energy Development,X,,X,,X,,,,X,
ISAT,,ISAT 411:,Energy Economics and Policy,X,,X,,,,,X,,
ISAT,,ISAT 413:,Options for Energy Efficiency,X,,X,,,,,X,,
ISAT,*,ISAT 420: ,Environmental  Analysis & Modeling,,,X,,X,R,R,R,,
ISAT,*,ISAT 421: ,Environmental Policy & Regulation,R,X,R,R,X,,,,X,
ISAT,*,ISAT 422: ,Environmental Management,R,R,X,R,,,,,,
ISAT,*,ISAT 423:,Environmental Remediation,,,,,X,R,R,X,,
ISAT,*,ISAT 424:,Natural Resource Conservation and Management,,,X,,R,X,X,X,X,
ISAT,*,ISAT 425:,Environmental Hydrology,,,,,X,R,R,X,,
ISAT,*,ISAT 426:,Environmental Information Systems,X,,,,X,X,,X,,
ISAT,*,ISAT 427:,Industrial Hygiene,X,R,,,,,,,X,
ISAT,*,ISAT 435:,Integrated Product and Process Development,X,X,,,,,,,,
ISAT,,ISAT 341:,Modeling and Simulation,,,,,,X,,X,,
ISAT,*,ISAT 344:,Intelligent Systems,,,,,,,,X,,
ISAT,*,ISAT 450:,Biotechnology and the Environment,,,,,X,,R,,,
ISAT,*,ISAT 525:,Environmental Systems,,,X,,X,R,X,R,X,
Biology,,BIO 351:,Introduction to Ecology,,,,,X,,,,X,
Biology,*,BIO 451:,Ecological Systems,,,,,X,,,,,
Biology,*,BIO 459:,Freshwater Ecology,,,,,X,X,X,,,
Business Law,,BLAW 495:,Business Law I,,,,X,,,,,,
Chemistry,,CHEM 131/2:,General Chemistry,,X,,,X,X,X,X,,
Chemistry,*,CHEM 354:,Environmental Chemistry Field Camp,,,,,X,X,X,,,
Chemistry,*,CHEM 355:,Geochemistry of Natural Waters,,,,,X,X,X,,,
Computer Science:,,CS 346:,Information System Design Studio,,,,,,,,X,,
Economics,,ECON 305:,Environmental Economics,X,,X,X,X,,,X,,
Economics,,ECON 340:,Economics of Natural Resources,,,X,X,X,,,,,
Geography,,GEOG 240:,Natural Resources Conservation,,,X,X,R,X,X,X,X,
Geography,,GEOG 244/5,Global Positioning Systems,,,,,R,X,,R,,
Geography,,GEOG 285:,Remote Sensing,,,,,X,X,,X,,
Geography,*,GEOG 366:,Geographic Information Systems,X,,,,R,R,,R,X,
Geography,*,GEOG 340:,Biogeography,,,X,,X,X,,,X,
Geography,*,GEOG 415:,Climatology,,,X,,X,,,X,X,
Geography,*,GEOG 440:,Wilderness Techniques,,,X,,R,X,,,X,
Geology,,GEOL 320:,Meteorology,,,X,,X,X,,,X,
Geology,*,GEOL 340:,Soils and Land Use,,,X,,X,X,X,,,
Geology,*,GEOL 460:,Geohydrology,,,,,X,X,X,,,
Health,*,HTH 352:,Environmental Health,,X,X,,X,,,,X,
Health,*,HTH 450:,Epidemiology,,X,,,,,,,,
Information and Decision Sciences,,CIS 454:,Systems Analysis and Design,,,,,,,,X,,
Information and Decision Sciences,,CIS 483:,Strategic Decision Making,X,,,,,,,X,,
Mathematics,,MATH 341:,Mathematical Modeling I,,,,,,X,,X,,
Mathematics,,MATH 424:,Statistical Decision Theory,,,,,,,,X,,
Management,,MGT 370:,Total Quality Management,X,,,,,,,,,
Philosophy,,PHIL 365:,"Philosophy, Law and Public Policy",,,X,X,,,,,,
Political Science,,POSC 395:,International Law,,,X,X,,,,,,
Political Science,,POSC 497:,Internship in Law,,,,X,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
