V.P. Area,System,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate,,,
Business Services,Ariba,Not Started,14355,Improve Ariba documentation,10/14/03,6/30/05,150,300,,,
Business Services,Ariba,Not Started,14356,Automate user load,10/14/03,12/31/05,80,120,,,
Business Services,Ariba,Not Started,14359,Implement Change Order Processing,10/14/03,,100,150,,,
Business Services,Ariba,Not Started,14360,Implement Email Approval,10/14/03,,100,150,,,
Business Services,Ariba,Not Started,14637,Show more data on the chooser screen for approver,11/14/03,12/31/04,24,40,,,
Business Services,Ariba,Pending,14474,"Find a way to disable the ""new ship tor"" button for all users",10/31/03,,30,50,,,
Business Services,Ariba,Ready for Class Review,15004,Replace helpdesk phone number on POs,1/23/04,,40,80,,,
Business Services,BUDG,Started,14008,Elective modifications for 2004-05 Budget year,8/8/03,,100,300,,,
Business Services,CAAC,Not Started,14314,CADE - Modify  to add audit on screen A922 14314,10/6/03,,20,50,,,
Business Services,CARS,Not Started,14118,CARS - Agency Payment Report 14118,9/27/01,,40,80,,,
Business Services,CARS,Not Started,14119,CARS - Expand comment screen limit 14119,9/15/03,,80,120,,,
Business Services,COEUS,Pending,14124,COEUS - Implement new modules of COEUS 14124,9/15/03,,1000,2000,,,
Business Services,E-Commerce,Not Started,14441,Commas in Amounts in Purdue-pay,9/11/03,,20,40,,,
Business Services,E-Commerce,Not Started,14443,Partial Refunds in IPS,3/19/03,,80,120,,,
Business Services,E-Commerce,Not Started,14444,Update ability for rejected ACH payments,4/8/03,,80,120,,,
Business Services,E-Commerce,Not Started,14446,Administrative site access without update,4/8/03,,60,100,,,
Business Services,E-Commerce,Not Started,14447,Purdue-pay e-mail links on payer pages,4/8/03,,60,100,,,
Business Services,E-Commerce,Started,14440,Libraries’ TIS IPS appl.ication,6/18/02,,90,150,,,
Business Services,FMIS,Not Started,14121,FMIS - FIJ3  14121,9/15/03,,40,100,,,
Business Services,FMIS,Pending,14122,FMIS - FIJ4 14122,9/15/03,,40,100,,,
Business Services,FMIS,Pending,14125,FMIS - On-Line Travel Booking System 14125,9/15/03,,500,1000,,,
Business Services,FMIS,Pending,2513,FMIS - e-routing of CRV's & other Acct docs 2513,11/1/94,,500,1000,,,
Business Services,FMIS,Started,14662,e-Comm - Implement ReconNET 14662,11/10/03,12/15/03,15,30,,,
Business Services,HRMT,Not Started,14700,HR Self Service - Add Update Capabilities,12/5/03,3/15/04,1000,1500,,,
Business Services,HRMT,Not Started,14701,HR Self Service - Benefits Open Enrollment,12/5/03,9/1/03,1000,1500,,,
Business Services,HRMT,Started,13577,HR Self Service (13577),1/13/03,,1000,2000,,,
Business Services,PAFX,Not Started,13658,FLEX Ad Hoc Report Request,2/18/03,,80,100,,,
Business Services,PAYR,Pending,14329,Determine an easy way to track Temporary Positions,10/13/03,10/20/03,150,200,,,
Business Services,RFSP,Not Started,13540,SPS - Award Notification (EARNIP) Phase II 13540,12/1/02,6/30/04,200,300,,,
Business Services,SLAC,Pending,11017,SLAC - Est  ACH draw down student loan pmts  11017,10/30/00,,200,400,,,
Engagement,PREMIS,Ready for Advisory Group,14575,Purdue Registration & Event Management Information System (PREMIS) Phase IV,11/5/03,7/1/04,1000,9999,,,
Engagement,PREMIS,Ready for Advisory Group,14576,Purdue Registration & Event Management Information System (PREMIS) Phase V,11/5/03,9/3/04,1000,9999,,,
Engagement,PREMIS,Started,14573,Purdue Registration & Event Management Information System (PREMIS) Phase II,11/5/03,2/20/04,1000,9999,,,
Engagement,PREMIS,Started,14574,Purdue Registration & Event Management Information System (PREMIS) Phase III,11/5/03,5/7/04,1000,9999,,,
ITaP,WAI,Not Started,14385,Fix the Probability of earning a C in the Profile table.,10/16/03,1/1/04,5,10,,,
ITaP,WAI,Not Started,14387,Change the Student Program Change table to pick up the semester information prior to and subsequent from a person's change in campus or school.,10/16/03,1/1/04,10,20,,,
ITaP,WAI,Not Started,14388,Describe the CA_POSTPAY file to the DSS data warehouse so users can query as the person level detail for payroll data and balance with the University general ledger.,10/16/03,6/30/04,100,500,,,
ITaP,WAI,Not Started,14709,Define COEUS data models and load corresponding information to the Data Warehouse,12/8/03,7/1/04,200,500,,,
ITaP,WAI,Started,14166,Remove access to Instructional Tables,9/17/03,1/31/04,10,20,,,
ITaP,WAI,Started,14381,Expand 'regular hours' field for Athletics.,10/16/03,1/31/04,20,30,,,
ITaP,WAI,Started,14384,Correct Years in Position Calculation.,10/16/03,1/31/04,10,30,,,
ITaP,WAI,Started,14386,Remove Disability information from DSS for HIPAA..,10/16/03,1/21/04,10,20,,,
ITaP,WAI,Started,14393,Correct the Grade Index field in Student DSS.,10/17/03,1/31/04,20,40,,,
ITaP,WAI,Started,14607,Remove address fields from DSS Student table.,11/11/03,1/21/04,10,15,,,
ITEA,Standards,Started,12603,Enterprise Scheduling Project,11/1/01,2/28/02,1,1,,,
ITEA,Standards,Started,14271,Portfolio Management Project,10/1/03,1/30/04,1,100,,,
ITEA,Standards,Started,14274,"Implementing the Project Mgmt Software, Processes On Demand (POD)",10/1/03,12/1/03,50,100,,,
ITEA,Standards,Started,14276,RAMIS Phase Out,10/1/03,12/31/03,200,500,,,
ITEA,Standards,Started,14277,ITEA Software Administration Database,10/1/03,12/1/03,50,150,,,
Physical Facilities,PFPM,Pending,12914,PFPM - Closing work order labor  12914,4/9/02,,10,100,,,
Physical Facilities,PFPR,Pending,14193,PFPR - Replace M/F Parking systems  14193,9/18/03,,750,1500,,,
Physical Facilities,PFPR,Pending,14200,PFPR - Exclude Staff from annual Ticket Purge 14200,9/22/03,,10,50,,,
Student Services,CN,Not Started,14295,"OCEC System ""Continuity 2000"" interfaces to Student Systems",10/2/03,,500,750,,,
Student Services,DFA,Not Started,14470,Implement Parent Loan Master Prom Note  (14470),10/30/03,4/15/04,100,200,,,
Student Services,DFA,Started,13890,EFT for Alternative Loans (13890),5/28/03,1/30/04,25,40,,,
Student Services,REGI,Not Started,13709,Honors/Convo - Update Population,3/10/03,2/1/04,1,50,,,
Student Services,REGI,Not Started,14111,Rename 6th byte of immunization data,9/15/03,12/3/03,75,125,,,
Student Services,REGI,Not Started,14112,POS Site Code - Additions & Deletions,9/15/03,,100,150,,,
Student Services,REGI,Not Started,14225,Change Font on encumbrance letters,9/23/03,,25,50,,,
Student Services,REGI,Not Started,14226,Change POS field names,9/23/03,,100,200,,,
Student Services,REGI,Not Started,14227,Please modify the process which creates the RESMA095 reports so that no historical reports are ‎created.  Only current and future (if any) are needed.‎,9/23/03,,5,10,,,
Student Services,REGI,Not Started,14228,New Campus Wide Office of Programs for Study Abroad Tracking System,9/23/03,,1,9999,,,
Student Services,REGI,Not Started,14281,Modify Dropped Student Encumbrance,10/2/03,,1,50,,,
Student Services,REGI,Not Started,14282,Modify Output for Honors Convocation,10/2/03,,1,100,,,
Student Services,REGI,Not Started,14283,Modify Repeat Course Audit,10/2/03,,101,500,,,
Student Services,REGI,Not Started,14284,Modify REAC Algorithm,10/2/03,,101,500,,,
Student Services,REGI,Not Started,14285,Modify Encumbrance Handling,10/2/03,,1,100,,,
Student Services,REGI,Not Started,14286,Status Note Sort,10/2/03,,1,100,,,
Student Services,REGI,Not Started,14287,Automate Final Cancel,10/2/03,,1,100,,,
Student Services,REGI,Not Started,14288,Modify Degree Data and Posting to Handle a Third Degree,10/2/03,,1000,1500,,,
Student Services,REGI,Not Started,14289,Scholastic Index by School Not Grouped Correctly,10/2/03,,101,500,,,
Student Services,REGI,Not Started,14316,Allow DSE to Process Foreign Addresses,10/6/03,,1,100,,,
Student Services,REGI,Not Started,14551,Replace or utilize PUID in Legacy Systems,11/4/03,,1,9999,,,
Student Services,REGI,Not Started,14553,Provide centralized PUID Solution,11/4/03,,101,500,,,
Student Services,REGI,Not Started,14584,Update local address directly from RMS to SI,11/7/03,,101,500,,,
Student Services,REGI,Pending,12326,Modification to Freshman Probablilty Index,9/20/01,,1,100,,,
