V.P. Area,System,Status,ITEA RFS #,Short Description,Date Received,Target Date,Low Estimate,High Estimate
Business Services,Ariba,Not Started,14997,Follow up with infrastructure staff to run diagnostic suggested by Ariba in conference call on 1/22/04.  Provide feedback to Ariba so that they can help determine if there is a way to lower the CPU being used by the bin process.,1/22/04,,20,40
Business Services,BUDG,Started,7145,General Support - Budget (7145),3/2/98,,40,400
Business Services,COEUS,Started,14999,COEUS - Support Rollout to Regionals 14999,1/23/04,,10,30
Business Services,FMIS,Started,14967,FMIS - Fund Explosion File Listing‎  14967,1/16/04,,1,10
Business Services,FMIS,Started,14968,FMIS - Attribute File Data Load  14968,1/16/04,,1,10
Business Services,PAFX,Not Started,14956,Flex Open/Close Enrollment 2004 (14956),1/15/04,1/31/31,100,200
Business Services,PAFX,Started,8098,Audit Emergency ACID's for FlexSystem (8098),12/28/98,,40,40
Business Services,PAFX,Started,9460,General Support - Flex (9460),12/3/99,,100,300
Business Services,PAIS,Started,12585,General Support - PAIS (12585),12/26/01,,4,100
Business Services,PAYR,Not Started,14938,Salary Budget Forward 2004 (14938),1/14/04,7/31/04,200,400
Business Services,PAYR,Not Started,14939,August AY Payroll 2004 (14939),1/14/04,9/30/04,100,200
Business Services,PAYR,Not Started,14954,Payroll Year-End 2004 (14954),1/15/04,3/1/05,200,400
Business Services,PAYR,Started,10495,General Support - Payroll Calculator (10495),8/2/00,,80,100
Business Services,PAYR,Started,12415,General Support - Payroll (12415),10/22/01,,1,40
Business Services,PESN,Started,8317,General Support - Resumix (8317),3/10/99,,100,150
Business Services,PESN,Started,11435,General Support - Personnel (11435),2/19/01,,1,100
Business Services,PESN,Started,13628,Administrative Overhead for HR team (13628),2/5/03,,100,200
Business Services,YREND,Not Started,14160,FMIS - Year end support 2004  14160,9/17/03,,50,100
ITaP,WAI,Ready for Class Review,14889,Maintenance procedures for Data Cubes,1/12/04,6/1/04,200,400
ITaP,WAI,Ready for Class Review,14994,Investigate DSS Refresh Data Load Procedures,1/21/04,,20,40
ITaP,WAI,Started,14848,Financial trouble shooting and system admin,1/7/04,1/31/04,10,50
ITaP,WAI,Started,14849,Student DSS system admin and trouble shooting,1/7/04,1/31/04,10,50
ITaP,WAI,Started,14870,Trouble Shooting/mainrtenance of ETL environment,1/9/04,1/31/04,10,50
Student Services,SIS,Pending,14935,Predictive Modeling - Annual Support Prospect,1/14/04,,75,125
Student Services,SIS,Pending,14936,Predictive Modeling - Annual Support Inquiry,1/14/04,,75,125
Student Services,SIS,Pending,14937,Predictive Modeling - Annual Support Admit,1/14/04,,75,125
University Residences,PRIDE,Not Started,13992,PRIDE - Remove and Archive PRIDE System 13992,9/1/03,1/1/05,50,100
University Residences,RHAC,Not Started,14255,RHAC - Annual Reporting 2003-2004   14255,9/29/03,9/29/04,100,200
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
