Division,Panel Name,lastname,firstname,department,College  ,Rank,Award Amt,Award Title
Arts & Humanities,Art History,Clark,William,ART,QUEENS COLLEGE,PROF,"$3,928.00","History, Tradition and Memory in the West Facade of Saint-Denis"
Arts & Humanities,Art History,Dodds,Jerrilynn,ARCHITECTURE,CITY COLLEGE,PROF,"$3,928.00",Romanesque Architecture and the Myth of the West
Arts & Humanities,Art History,Hofmann,George,ART,HUNTER COLLEGE,PROF,"$1,962.00",Continuation of the Oral History of the Art Department at Hunter College
Arts & Humanities,Art History,Mainardi,Patricia,ART,BROOKLYN COLLEGE,PROF,"$3,928.00",The Year 1900: Art Across the Continents
Arts & Humanities,Art History,Manthorne,Katherine,ART HISTORY,GRADUATE SCHOOL,PROF,"$3,928.00",Art & Film 1900-1945: Reel Looking
Arts & Humanities,Art History,Murphy,Kevin,ART HISTORY,GRADUATE SCHOOL,ASSCP,"$3,928.00",Jonathan Fisher (1768-1847) and the Making of American Culture
Arts & Humanities,Art History,Preston,George,ART,CITY COLLEGE,PROF,"$3,928.00",Guan Festival Arts and Aran Leadership Arts
Arts & Humanities,Art History,Salomon,Nanette,CREATIVE/PERFORMING ARTS,COLLEGE OF STATEN ISLAND,ASSCP,"$3,928.00",From Sexually to Civility Vermeer's Women
Arts & Humanities,Art History,Sheingorn,Pamela,HISTORY,BARUCH COLLEGE,PROF,"$3,000.00","Myth, Montage and the Visible in Late Medieval Manuscript  Culture: Christine de Pizan's Othea"
Arts & Humanities,Art History,Smith,Virginia,ART,BARUCH COLLEGE,PROF,"$3,928.00",Visual Set: Typography and the design arts
Arts & Humanities,Art History,Stapleford,Richard,ART,HUNTER COLLEGE,PROF,"$3,928.00",Research for a Monograph on the Paintings of Sandro Botticelli
Arts & Humanities,Art History,Vergara,Lisa,ART,HUNTER COLLEGE,ASSCP,"$2,600.00",(Book) Perspectives on Women in the Art of Vermeer
Arts & Humanities,Art History,Wein,Jo Ann,ART,QUEENSBOROUGH C. C.,ASSTP,"$4,471.00",Signs of Modernity in Modern Art: Representing Women in Impressionist  Practice
Arts & Humanities,Classics,Koehl,Robert,CLASSICAL & ORIENTAL STUDIES,HUNTER COLLEGE,ASSCP,"$1,800.00",Studies in Mycenaean Pottery: Greece and Turkey
Arts & Humanities,Classics,Spurza,Joanne,CLASSICAL & ORIENTAL STUDIES,HUNTER COLLEGE,ASSTP,"$6,078.00","Morgantina Macellum (Market-Building) Project: Archival Research, Field Study, Final Publication"
Arts & Humanities,Classics,Wilson,Donna,CLASSICS,BROOKLYN COLLEGE,ASSTP,"$4,640.00",Two Documentary Papyri in the University of Texas Collection
Arts & Humanities,Comparative Literature,Allen,Valerie,ENGLISH,JOHN JAY,ASSTP,"$4,200.00",On Farting: Bodily Wind and the middle ages
Arts & Humanities,Comparative Literature,Chao,Der-lin,CLASSICAL & ORIENTAL STUDIES,HUNTER COLLEGE,ASSTP,"$4,340.00",Research Project on Teaching and learning Chinese Characters
Arts & Humanities,Comparative Literature,Flores,Andrea,COMPARATIVE LITERATURE,QUEENS COLLEGE,ASSTP,"$4,560.00",Modern art and literature of the Nasser Period
Arts & Humanities,Comparative Literature,Friedman,Rivka,CLASSICAL & ORIENTAL STUDIES,HUNTER COLLEGE,PROF,"$3,055.00",Metafictional Aspects in the writings of the major modern Hebrew authors
Arts & Humanities,Comparative Literature,Pirott-Quintero,Laura,MODERN LANGUAGE,COLLEGE OF STATEN ISLAND,ASSTP,"$3,760.00",Topographies of the Body in 20th century Latin American Literature
Arts & Humanities,Comparative Literature,Ramos,Alicia,ROMANCE LANGUAGES,HUNTER COLLEGE,ASSTP,"$5,965.00",Spanish Proficiency and the Workplace (How) Do Textbooks enable students to acquire it?
Arts & Humanities,Comparative Literature,Richter,David,ENGLISH,QUEENS COLLEGE,PROF,"$3,571.00",The Robe of Samuel: Difficulty and Indeterminacy in Biblical Narrative
Arts & Humanities,Comparative Literature,Roussetzki,Remy,ENGLISH,HOSTOS C. C.,ASSTP,"$3,840.00",Aesthetics of Anxiety at the Turn of the 19th Century
Arts & Humanities,Comparative Literature,Silva,John,ENGLISH,LAGUARDIA C. C.,PROF,"$3,840.00","Articulate Hypocrites: Evil Eloquence in Cameos ""Lusiadas"" Sidney's ""New Arcadia"" and Shakespeare's ""King Lear"""
