,,,,,,,,,,,,,,,,,,,,,,,
Station,,SOD,J[NH4],J[NO3],J[PO4],J[Si],O2(0),NH4(0),NO3(0),PO4(0),Si(0),T,,Station,Distance,Date,NH4(0),PO4(0),Si(0),Cl,pH,SO4(0),Alk
SP  , 05/08/85 ,2.407,90.9,-33.7,8.2,222.2,7.77,0.086,0.776,0.011,0.305,17.8,,927RR,285.4,09/25/73,11.84,0.49,7.50,6.1,7.19,19.2,7.39
SP  , 06/26/85 ,1.870,20.9,0.0,4.5,0.0,4.91,0.075,0.535,0.018,1.130,23.6,,926S,283.5,06/18/73,5.62,0.75,,5.8,7.30,,5.08
SP  , 08/21/85 ,1.163,39.2,2.5,4.0,372.1,4.59,0.060,0.249,0.030,1.113,26.2,,922W,275.7,12/18/73,5.95,0.97,7.26,22.3,7.24,62.4,4.32
SP  , 10/15/85 ,0.780,14.7,-15.3,0.9,93.7,6.41,0.104,0.508,0.024,0.925,18.5,,922Y,275.7,08/18/72,7.62,1.73,13.53,20.0,7.48,66.4,5.05
SP  , 05/04/86 ,1.433,41.2,-27.5,1.2,202.5,7.71,0.110,1.015,0.012,1.333,14.4,,922Y,275.7,09/02/74,,3.48,,55.2,6.99,,5.43
SP  , 06/25/86 ,2.133,34.8,-1.2,4.4,122.5,5.42,0.081,0.767,0.024,1.594,24.2,,919T,269.9,09/25/73,6.09,0.91,5.57,151.7,7.06,566.4,3.80
SP  , 08/21/86 ,0.800,103.6,-21.2,8.7,251.5,4.52,0.205,0.272,0.034,0.980,25.1,,915L,262.1,04/17/74,12.23,2.19,5.90,100.5,7.23,,5.18
SP  , 11/11/86 ,0.797,5.8,2.3,0.0,87.0,7.51,0.196,0.461,0.022,0.867,12.8,,914C,260.2,12/19/73,5.07,1.93,7.24,68.5,7.42,245.6,3.65
SP  , 04/20/87 ,0.867,24.2,-8.7,0.5,179.0,6.83,0.196,0.832,0.017,1.266,11.1,,914Q,260.2,12/19/73,5.61,2.25,6.55,66.8,7.31,233.6,3.97
SP  , 06/11/87 ,1.427,0.0,-12.5,2.9,119.1,3.36,0.145,0.436,0.016,0.701,21.6,,914S,260.2,08/18/72,4.79,1.37,8.65,79.4,7.34,284.0,4.27
SP  , 08/17/87 ,1.007,20.6,6.6,7.1,153.3,4.91,0.109,0.285,0.024,1.747,27.6,,914S,260.2,12/19/73,18.88,1.32,7.72,160.7,7.12,423.2,8.50
SP  , 11/10/87 ,0.567,-0.3,-22.8,2.8,68.3,9.11,0.157,0.770,0.017,0.717,11.5,,914S,260.2,05/14/75,2.97,1.85,3.64,82.7,7.38,251.2,2.91
SP  , 04/17/88 ,0.670,17.9,-9.9,-3.5,0.0,9.37,0.158,1.126,0.019,1.450,11.5,,912K,256.3,04/17/74,10.95,0.96,5.20,75.8,7.28,,0.61
SP  , 06/03/88 ,0.430,34.0,-36.9,1.2,28.3,4.72,0.189,0.805,0.020,1.693,      ,,904D,240.8,12/17/73,2.31,0.85,8.42,192.2,7.04,980.0,1.62
SP  , 08/16/88 ,0.810,40.3,17.7,5.7,76.2,5.79,0.111,0.466,0.013,1.065,29.1,,904N,240.8,08/08/72,19.58,1.62,7.15,183.7,7.39,456.0,14.10
SP  , 11/03/88 ,0.240,0.0,5.9,0.0,0.0,8.62,0.104,0.434,0.019,0.908,11.4,,904N,240.8,09/25/73,33.00,3.75,8.49,237.1,7.46,314.9,19.65
SP  , 12/12/88 ,0.257,0.0,-7.2,-1.1,7.0,9.69,0.177,0.866,0.016,1.286,      ,,904N,240.8,12/18/73,13.29,5.00,8.50,197.8,7.45,468.5,11.04
R64 , 05/06/85 ,0.870,62.2,1.9,0.9,192.1,5.95,0.117,0.126,0.005,0.317,13.8,,904N,240.8,04/17/74,21.86,0.92,7.24,223.8,7.53,,8.40
R64 , 06/25/85 ,1.353,146.2,-3.1,64.8,679.1,0.91,0.371,0.014,0.023,1.573,21.6,,904N,240.8,09/01/74,30.54,6.44,,216.1,7.30,,19.40
R64 , 08/20/85 ,2.280,128.9,-1.8,20.0,370.6,1.99,0.395,0.023,0.063,1.310,25.6,,904N1,240.8,12/18/72,52.88,2.55,10.98,,7.68,364.8,
R64 , 10/14/85 ,1.347,115.8,-1.1,5.2,404.5,4.14,0.295,0.035,0.020,0.857,21.1,,904N1,240.8,04/18/74,19.23,4.55,6.81,215.8,7.46,,14.20
R64 , 05/05/86 ,0.817,65.5,-19.8,0.2,267.9,5.52,0.174,0.254,0.007,0.493,11.8,,904N2,240.8,04/18/74,21.07,3.84,7.11,213.6,7.39,,13.81
R64 , 06/24/86 ,0.377,115.7,-16.0,68.5,477.3,0.62,0.532,0.019,0.082,1.555,20.4,,904N3,240.8,04/18/74,9.08,3.67,8.16,205.6,7.30,,6.97
R64 , 08/20/86 ,0.040,235.0,2.2,52.7,317.1,0.07,0.541,0.009,0.125,1.743,26.1,,904N4,240.8,04/18/74,16.19,4.68,8.10,213.9,7.17,,11.85
R64 , 11/10/86 ,0.647,30.0,0.6,1.9,176.9,6.39,0.190,0.049,0.019,0.722,16.0,,904N5,240.8,04/18/74,20.74,4.16,8.01,210.0,7.35,,9.62
R64 , 04/20/87 ,0.593,13.1,-4.0,0.8,64.7,7.12,0.111,0.187,0.004,0.150,9.4,,904P,240.8,12/19/73,3.97,2.70,10.36,188.0,7.37,736.0,4.80
R64 , 06/12/87 ,0.470,60.1,0.0,28.1,264.9,0.29,0.354,0.005,0.072,0.925,16.9,,858C,229.1,09/02/74,,8.57,,284.3,7.43,,18.27
R64 , 08/17/87 ,0.157,76.3,-0.4,15.9,314.6,0.11,0.278,0.002,0.068,1.590,25.7,,858C,229.1,05/14/75,19.76,9.09,11.60,275.8,7.58,668.0,14.23
R64 , 11/16/87 ,0.453,14.0,10.7,-0.4,124.7,8.07,0.123,0.042,0.012,0.393,12.8,,858C,229.1,05/14/75,,7.20,8.58,269.4,7.26,700.8,9.31
R64 , 04/17/88 ,0.523,16.5,-1.3,0.0,96.0,7.46,0.053,0.123,0.005,0.095,10.9,,856-3,225.2,05/26/71,3.62,2.59,8.43,,,,
R64 , 06/01/88 ,0.143,94.2,0.0,42.1,218.9,0.50,0.379,0.005,0.137,0.925,15.6,,856-4,225.2,05/26/71,0.91,0.70,6.82,,,,
R64 , 08/11/88 ,0.510,186.3,1.3,33.7,231.0,0.35,0.440,0.004,0.084,1.319,25.8,,856-6,225.2,05/26/71,4.84,3.54,13.49,,,,
R64 , 11/01/88 ,0.530,63.8,-4.0,0.0,159.6,6.34,0.144,0.052,0.009,0.540,11.6,,856-7,225.2,05/26/71,6.46,0.09,1.83,,,,
R64 , 12/13/88 ,0.323,15.3,3.2,-2.7,70.6,8.72,0.096,0.074,0.006,0.415,      ,,856-7,225.2,01/17/72,8.64,3.00,7.30,232.8,7.43,,7.25
R78 , 05/07/85 ,1.053,62.4,-14.5,0.0,120.7,5.78,0.106,0.183,0.007,0.178,13.8,,856B,225.2,01/19/72,3.72,2.51,8.17,258.4,6.98,,3.44
R78 , 06/27/85 ,0.805,56.4,2.7,7.8,277.5,4.91,0.075,0.536,0.018,1.130,21.5,,856C,225.2,06/30/71,6.91,4.16,10.77,275.3,7.31,1105.6,5.37
R78 , 08/20/85 ,1.010,27.8,19.0,-3.3,231.0,2.15,0.385,0.014,0.055,1.471,25.7,,856C,225.2,08/11/71,10.48,7.47,15.52,261.9,7.34,678.4,8.52
R78 , 10/14/85 ,0.740,28.5,17.6,-1.2,186.1,3.42,0.201,0.148,0.021,1.103,20.2,,856C,225.2,11/24/71,6.82,3.64,10.54,276.8,7.21,1068.8,6.85
R78 , 05/04/86 ,0.790,9.5,-19.3,0.0,67.6,2.47,0.183,0.242,0.004,0.339,10.4,,856C,225.2,01/19/72,3.61,2.13,6.39,274.6,7.38,1168.8,4.35
R78 , 06/24/86 ,1.150,113.0,-22.2,38.5,275.7,1.39,0.364,0.042,0.038,1.419,21.0,,856C,225.2,03/29/72,,,,270.9,,834.2,
R78 , 08/21/86 ,0.003,37.7,-1.7,29.9,114.6,0.06,0.403,0.006,0.147,1.813,25.3,,856C,225.2,04/28/72,7.62,4.98,9.69,259.6,,1032.0,6.18
R78 , 11/11/86 ,0.500,-9.7,5.2,1.4,93.9,4.14,0.228,0.073,0.031,0.986,16.9,,856C,225.2,07/19/72,9.31,1.66,6.36,157.5,7.31,470.4,4.85
R78 , 04/20/87 ,0.500,7.0,5.1,0.2,50.1,4.99,0.180,0.265,0.006,0.241,9.1,,856C,225.2,08/22/72,19.48,4.31,11.42,262.7,7.32,638.4,15.05
R78 , 06/11/87 ,0.035,44.2,3.1,15.9,96.4,0.28,0.418,0.006,0.060,0.815,15.4,,856C,225.2,06/19/73,28.53,6.09,,,7.17,,13.77
R78 , 08/17/87 ,0.117,25.6,0.2,-2.4,117.5,0.71,0.277,0.003,0.042,1.707,26.5,,856C,225.2,09/26/73,32.95,7.11,11.58,279.1,7.48,368.8,21.94
R78 , 11/09/87 ,0.353,-17.8,4.1,18.2,47.4,6.72,0.189,0.195,0.023,0.757,13.7,,856C1,225.2,09/27/71,,,14.09,292.8,7.30,763.2,14.35
R78 , 04/17/88 ,0.843,11.7,-6.8,-0.5,47.9,6.86,0.105,0.253,0.011,0.168,10.2,,856C1,225.2,09/28/71,15.12,9.69,16.05,292.8,7.30,716.8,14.03
R78 , 06/01/88 ,-0.047,32.9,-10.4,7.3,84.5,0.61,0.218,0.030,0.025,0.491,15.3,,856C1,225.2,10/26/71,12.59,7.54,13.39,295.8,7.17,908.0,13.13
R78 , 08/15/88 ,0.730,52.9,2.8,10.9,149.9,2.59,0.221,0.027,0.030,1.529,28.4,,856C1,225.2,03/15/72,6.72,3.39,8.17,240.7,7.28,724.8,7.58
R78 , 11/03/88 ,0.503,37.4,9.1,6.3,57.5,5.34,0.175,0.089,0.020,0.669,14.9,,856C1,225.2,05/25/72,3.85,1.51,6.93,249.0,7.70,1140.0,3.47
PP  , 05/08/85 ,1.247,50.3,-13.9,1.6,274.4,5.72,0.120,0.107,0.007,0.377,15.8,,856C1,225.2,06/27/72,6.81,3.41,8.17,231.6,7.29,683.2,7.07
PP  , 06/24/85 ,2.863,111.2,0.0,22.2,639.8,0.75,0.366,0.012,0.043,1.585,22.6,,856C1,225.2,11/22/72,13.69,4.58,3.42,275.7,7.62,,9.70
PP  , 08/20/85 ,1.073,74.1,-5.7,-2.3,355.3,2.93,0.239,0.025,0.022,1.183,26.1,,856C1,225.2,12/19/72,52.97,2.57,11.08,,7.68,371.2,
PP  , 10/14/85 ,1.040,24.1,4.2,1.6,250.3,6.77,0.089,0.026,0.005,0.219,20.4,,856C2,225.2,10/27/71,,,8.81,296.1,,1225.6,5.30
PP  , 05/05/86 ,1.030,21.8,-12.4,0.0,133.0,7.97,0.057,0.351,0.004,0.214,13.1,,856C2,225.2,03/15/72,8.21,3.98,7.19,293.4,7.08,977.6,8.48
PP  , 06/24/86 ,0.687,49.1,-0.2,3.2,312.1,2.66,0.214,0.031,0.008,1.124,22.6,,856C2,225.2,05/26/72,3.14,2.29,6.87,242.7,7.40,1063.2,3.55
PP  , 08/18/86 ,0.740,79.0,7.5,0.0,170.8,5.82,0.066,0.004,0.011,0.725,26.3,,856C2,225.2,11/22/72,13.83,5.81,7.61,271.5,7.62,856.0,10.62
PP  , 11/12/86 ,0.817,15.4,5.2,1.9,179.8,8.68,0.091,0.046,0.007,0.366,14.8,,856C5,225.2,10/28/71,,,9.39,291.9,7.47,,4.72
PP  , 04/22/87 ,0.900,0.5,0.0,0.3,138.0,10.61,0.018,0.185,0.002,0.110,12.4,,856C6,225.2,10/28/71,,,12.25,290.3,7.61,,6.95
PP  , 06/13/87 ,0.090,37.3,-1.4,9.8,198.2,0.50,0.205,0.003,0.045,0.878,18.1,,856C7,225.2,10/28/71,,,11.48,290.6,7.23,,6.55
