,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,Julian day,SOD,J[NH4],J[NO3],J[PO4],J[Si],J[Mn],O2(0),NH4(0),NO3(0),PO4(0),Si(0),T,,Treatment,Julian day,Mnd,Mnp,pH,O2(0),Treatment,Julian day,Mnd,Mnp,pH,O2(0)
C1  ,146,0.708,39.4,0.7,6.7,76.4,7.66,8.01,9.0,2.7,23.2,403,17.3,,C0,149,10.8,,,8.30,2X,644,11.7,14.5,7.74,5.50
C1  ,173,1.406,47.5,1.4,       ,245.9,6.29,7.28,8.3,6.0,25.6,509,19.3,,C0,175,20.0,,7.96,7.50,2X,700,2.5,4.1,7.88,8.20
C1  ,208,0.912,59.1,6.1,       ,139.2,7.16,6.19,16.0,7.0,30.3,772,20.8,,C0,208,17.5,,9.90,6.25,2X,778,6.9,3.5,8.27,12.50
C1  ,236,1.025,40.1,        ,0.8,      ,9.62,6.79,10.4,9.5,41.4,449,17.0,,C0,235,10.0,,7.85,6.65,2X,826,11.1,4.0,8.50,11.35
C1  ,264,0.974,31.2,10.2,5.6,8.6,5.16,6.59,59.4,25.1,55.7,292,16.6,,C0,249,8.4,3.2,7.85,7.20,2X,853,11.1,4.4,8.50,12.24
C1  ,314,0.552,10.5,3.2,2.4,34.2,0.24,7.87,46.9,79.3,46.1,472,10.0,,C0,279,7.7,1.9,7.91,7.87,2X,885,10.3,11.4,8.52,12.28
C1  ,383,0.240,3.9,1.4,0.8,26.9,0.10,11.79,       ,       ,       ,     ,0.1,,C0,313,8.3,,7.84,7.97,2X,915,5.1,12.3,8.28,9.31
C1  ,439,0.480,7.2,2.4,1.3,33.2,1.22,11.58,6.2,4.2,4.7,30,3.8,,C0,348,9.1,,8.06,9.68,2X,945,3.5,10.3,8.06,8.58
C1  ,447,0.475,8.7,2.4,1.2,27.8,1.32,11.50,4.9,2.5,1.5,21,5.3,,C0,383,5.7,,8.12,,2X,974,7.3,8.9,7.96,7.55
C1  ,502,1.147,29.2,10.1,4.1,143.0,5.04,7.54,14.0,12.5,15.3,446,13.2,,C0,390,6.0,0.5,8.37,13.10,2X,995,4.2,9.0,7.81,6.14
C1  ,546,1.663,47.7,12.3,4.2,191.2,5.26,6.61,17.5,10.5,19.7,911,19.0,,C0,445,6.3,,5.88,11.67,4X,142,14.7,,,8.30
C1  ,565,1.327,49.6,7.0,7.6,147.0,16.25,4.52,16.4,6.4,27.0,1517,21.3,,C0,496,12.1,3.0,8.02,8.40,4X,176,8.0,,8.28,11.90
C1  ,594,2.232,50.8,17.0,8.5,      ,9.77,5.36,46.8,36.7,39.9,1913,21.5,,C0,538,9.9,9.1,7.88,7.13,4X,225,25.9,,7.45,5.65
C1  ,642,1.390,26.4,12.6,4.0,184.1,5.09,5.92,43.3,43.3,40.3,1353,16.1,,C0,556,15.1,5.5,7.79,5.59,4X,256,31.5,,7.62,4.70
C1  ,698,0.610,4.0,5.3,0.5,56.4,1.57,6.97,73.8,123.4,40.0,853,9.0,,C0,583,19.0,5.1,7.72,5.10,4X,279,14.3,2.5,7.80,7.21
C1  ,775,0.430,2.7,3.8,0.5,17.4,0.12,11.90,3.5,2.5,9.9,422,2.1,,C0,643,18.5,4.9,7.90,6.17,4X,314,13.9,,7.80,7.39
C1  ,863,       ,        ,        ,       ,      ,1.66,      ,       ,       ,       ,     ,       ,,C0,698,8.9,2.0,7.92,7.20,4X,348,11.3,2.5,7.93,9.35
C1  ,908,1.793,64.1,20.0,11.2,167.3,4.09,6.83,14.3,15.4,7.4,761,19.2,,C0,776,5.6,0.2,8.34,12.31,4X,379,5.7,,8.37,14.40
C1  ,936,1.872,52.0,24.2,8.6,159.4,8.20,5.70,53.0,41.9,28.8,1160,21.1,,C0,826,5.9,1.1,8.23,11.16,4X,390,4.7,6.6,8.80,17.93
C1  ,992,1.361,54.0,10.4,10.9,181.6,8.20,6.08,25.9,23.0,33.1,1193,21.0,,C0,853,7.2,2.0,8.06,8.85,4X,448,14.7,,9.04,18.20
C5  ,146,0.845,39.0,4.1,6.5,-36.9,8.97,8.01,11.2,4.9,27.0,518,17.5,,C0,885,11.5,1.3,7.91,6.96,4X,497,15.5,0.8,8.41,7.99
C5  ,180,1.219,39.6,-1.6,8.0,151.7,28.02,7.48,15.4,6.7,39.9,242,20.3,,C0,915,13.6,2.5,7.87,6.13,4X,538,7.1,18.4,8.20,10.78
C5  ,208,1.291,44.2,2.3,-1.3,-249.0,9.58,6.48,6.2,2.1,36.4,652,19.7,,C0,945,21.0,6.2,7.65,5.21,4X,558,16.5,13.1,8.06,8.25
C5  ,236,1.193,55.7,        ,8.3,      ,6.63,6.14,20.6,16.1,51.5,897,18.1,,C0,974,19.3,9.8,7.74,5.30,4X,584,27.1,7.1,7.74,5.55
C5  ,264,1.094,27.9,5.1,5.7,78.0,5.55,6.66,48.3,27.6,56.2,1115,17.0,,C0,995,20.5,4.2,7.80,5.94,4X,645,19.8,11.2,7.68,5.40
C5  ,307,0.554,13.7,-16.7,1.4,58.9,2.76,8.15,59.5,66.1,48.6,817,11.4,,C5,147,14.8,,,8.30,4X,701,6.5,7.1,7.83,7.40
C5  ,384,0.155,0.2,0.1,0.4,2.5,0.86,14.98,4.9,2.2,4.2,18,0.8,,C5,178,18.2,,8.10,7.10,4X,777,5.3,3.4,8.41,13.50
C5  ,439,0.218,11.0,1.9,0.7,43.0,1.88,11.53,6.9,3.2,2.1,34,4.6,,C5,224,15.1,,7.89,6.41,4X,826,7.2,6.0,8.78,17.23
C5  ,502,1.202,35.4,7.5,3.9,52.2,4.57,7.62,14.6,11.1,19.7,544,14.6,,C5,267,11.2,,7.85,6.54,4X,853,9.3,8.9,8.57,12.90
C5  ,546,1.555,42.2,5.6,4.4,179.6,19.73,6.05,24.1,11.8,20.9,888,19.3,,C5,279,4.7,9.3,7.85,6.66,4X,885,7.5,13.8,8.31,10.30
C5  ,565,1.486,60.5,5.7,6.9,      ,8.46,4.93,17.5,10.2,22.8,1442,21.8,,C5,309,3.5,,7.88,7.90,4X,915,4.4,13.6,8.15,8.86
C5  ,594,1.414,52.7,3.7,6.1,      ,14.30,5.78,22.6,26.3,34.5,1858,22.5,,C5,348,6.3,2.7,8.10,10.02,4X,945,4.3,9.4,8.22,9.61
C5  ,642,0.883,32.6,6.6,7.4,117.5,11.27,6.39,47.2,27.0,43.4,1342,17.4,,C5,385,1.3,,8.53,17.00,4X,974,9.1,9.8,7.82,4.85
C5  ,698,0.403,9.6,1.9,2.5,47.1,1.91,8.03,77.3,94.0,40.6,654,9.0,,C5,390,6.6,2.5,8.58,14.28,4X,995,13.0,1.9,7.63,4.39
C5  ,859,1.138,20.8,2.6,6.2,166.0,8.02,10.10,3.9,2.8,0.9,17,14.0,,C5,440,8.4,,8.38,11.77,8X,148,14.2,,,8.83
C5  ,908,1.562,61.7,4.2,13.4,227.4,9.19,6.19,36.6,9.9,25.7,881,19.2,,C5,496,7.9,3.8,8.03,8.22,8X,209,29.4,,8.12,6.58
C5  ,936,1.334,55.6,7.2,11.9,228.9,12.57,6.18,46.4,17.1,43.4,1364,21.5,,C5,538,9.3,7.4,7.94,7.40,8X,234,47.5,,7.31,3.75
C5  ,994,0.965,51.9,3.3,8.3,102.1,7.14,6.43,32.2,7.1,49.6,414,22.0,,C5,556,15.5,8.2,7.87,5.61,8X,248,36.6,4.6,7.34,4.94
C8  ,146,0.569,19.1,0.9,3.7,231.4,5.53,8.68,9.1,3.2,21.1,165,16.8,,C5,583,14.5,7.9,7.83,5.40,8X,279,23.9,4.9,7.45,4.59
C8  ,180,1.392,27.1,2.3,17.2,136.5,       ,7.32,8.7,1.8,27.2,92,19.2,,C5,643,17.9,9.2,7.92,6.58,8X,314,13.9,,7.62,6.12
C8  ,208,1.378,31.5,2.8,       ,91.3,       ,7.27,11.2,2.4,34.8,200,19.3,,C5,699,11.4,3.7,7.98,7.71,8X,348,14.6,1.9,7.80,7.84
C8  ,236,1.505,76.0,        ,       ,      ,8.39,5.98,32.4,12.3,43.5,568,17.8,,C5,826,13.9,2.1,8.28,11.18,8X,384,10.2,,7.94,9.88
