Individual change per timestep,"x, m",Initial elevations.  Change this column.,x,Hmodel,x,Hobserved.  Change this column.,(Hobs-Hmodel)^2
0,0,8,0,8,0,8.421135731,0.177355304
0,10,8,10,7.99903214,10,8.742485513,0.552722919
0,20,8,20,7.997030751,20,8.162830159,0.027489444
0,30,8,30,7.992186161,30,8.375827973,0.14718104
0,40,8,40,7.980851531,40,8.282355243,0.090904489
0,50,8,50,7.956000735,50,8.623424612,0.445454631
0,60,8,60,7.905267774,60,8.140094135,0.05514342
0,70,8,70,7.80914456,70,8.755903076,0.896351689
0,80,8,80,7.640610808,80,8.726295737,1.178711763
0,90,8,90,7.367940338,90,8.229347757,0.742022742
0,100,8,100,6.961953628,100,8.211506424,1.561382191
0,110,8,110,6.407022361,110,8.166695574,3.096449817
0,120,8,120,5.712149625,120,6.578673583,0.75086377
0,130,8,130,4.916349499,130,6.022663645,1.223930989
0,140,1,140,4.083650501,140,4.595044024,0.261523336
0,150,1,150,3.287850375,150,2.580779235,0.499949598
0,160,1,160,2.592977639,160,2.29322044,0.089854379
0,170,1,170,2.038046372,170,1.4424129,0.354779233
0,180,1,180,1.632059662,180,1.812272485,0.032476661
0,190,1,190,1.359389192,190,1.735332514,0.141333382
0,200,1,200,1.19085544,200,1.769310478,0.33461023
0,210,1,210,1.094732226,210,1.797445101,0.493805384
0,220,1,220,1.043999265,220,1.234339982,0.036229589
0,230,1,230,1.019148469,230,1.387488587,0.135674442
0,240,1,240,1.007813839,240,1.335259486,0.107220652
0,250,1,250,1.002969249,250,1.730189299,0.528849001
0,260,1,260,1.00096786,260,1.390913742,0.152057791
0,270,1,270,1,270,1.373914042,0.139811711
