,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Volumes (trillion cubic feet),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2002-2025
   Pipeline Imports from Canada,3.73 ,3.78 ,3.71 ,3.82 ,3.78 ,3.74 ,3.75 ,3.82 ,3.91 ,3.99 ,3.93 ,3.91 ,3.79 ,3.56 ,3.48 ,3.29 ,3.15 ,3.03 ,2.82 ,2.82 ,2.85 ,2.79 ,2.78 ,2.83 ,2.88 ,-1.2%
   Pipeline Imports from Mexico,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.06 ,0.12 ,0.19 ,0.19 ,0.19 ,0.25 ,0.31 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,0.37 ,26.2%
   Liquefied Natural Gas Imports,0.24 ,0.23 ,0.49 ,0.59 ,0.90 ,1.37 ,1.47 ,1.71 ,1.84 ,2.22 ,2.54 ,2.65 ,2.85 ,3.16 ,3.28 ,4.01 ,4.19 ,4.16 ,4.17 ,4.21 ,4.39 ,4.75 ,4.78 ,4.81 ,4.87 ,14.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Imports,3.98 ,4.01 ,4.20 ,4.41 ,4.68 ,5.11 ,5.28 ,5.65 ,5.94 ,6.40 ,6.66 ,6.80 ,6.95 ,7.09 ,7.13 ,7.67 ,7.70 ,7.56 ,7.35 ,7.40 ,7.61 ,7.90 ,7.92 ,8.01 ,8.11 ,3.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,
   Pipeline Exports to Canada,0.17 ,0.19 ,0.31 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,0.32 ,2.2%
   Pipeline Exports to Mexico,0.14 ,0.26 ,0.32 ,0.43 ,0.43 ,0.45 ,0.47 ,0.49 ,0.52 ,0.52 ,0.53 ,0.53 ,0.52 ,0.51 ,0.52 ,0.52 ,0.53 ,0.54 ,0.54 ,0.54 ,0.54 ,0.53 ,0.52 ,0.51 ,0.49 ,2.8%
   Liquefied Natural Gas Exports,0.07 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.06 ,0.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Exports,0.37 ,0.52 ,0.69 ,0.81 ,0.81 ,0.83 ,0.85 ,0.87 ,0.90 ,0.90 ,0.91 ,0.91 ,0.90 ,0.89 ,0.90 ,0.90 ,0.91 ,0.92 ,0.92 ,0.92 ,0.92 ,0.91 ,0.90 ,0.89 ,0.87 ,2.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Net Imports,3.60 ,3.49 ,3.51 ,3.60 ,3.87 ,4.28 ,4.43 ,4.78 ,5.04 ,5.50 ,5.76 ,5.90 ,6.05 ,6.20 ,6.24 ,6.76 ,6.79 ,6.64 ,6.43 ,6.47 ,6.69 ,6.99 ,7.02 ,7.12 ,7.24 ,3.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Average Import Price,4.49 ,3.14 ,5.36 ,3.92 ,3.68 ,3.59 ,3.65 ,3.75 ,3.75 ,3.78 ,3.93 ,4.09 ,4.30 ,4.50 ,4.59 ,4.60 ,4.60 ,4.58 ,4.55 ,4.58 ,4.74 ,4.71 ,4.70 ,4.67 ,4.67 ,1.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,
     From Canada,4.49 ,3.13 ,5.37 ,3.89 ,3.69 ,3.61 ,3.67 ,3.75 ,3.82 ,3.89 ,4.04 ,4.15 ,4.40 ,4.70 ,4.70 ,4.76 ,4.77 ,4.76 ,4.69 ,4.61 ,4.79 ,4.83 ,4.79 ,4.77 ,4.72 ,1.8%
     From Mexico,5.06 ,2.36 ,5.37 ,3.94 ,3.69 ,3.62 ,4.01 ,4.18 ,4.02 ,3.81 ,3.84 ,3.90 ,4.04 ,4.13 ,4.28 ,4.36 ,4.49 ,4.20 ,3.94 ,4.08 ,4.36 ,4.72 ,4.71 ,4.81 ,4.92 ,3.3%
  LNG Price (including regasification),4.46 ,3.43 ,5.29 ,4.10 ,3.66 ,3.54 ,3.60 ,3.75 ,3.62 ,3.59 ,3.77 ,3.99 ,4.17 ,4.28 ,4.47 ,4.47 ,4.48 ,4.46 ,4.45 ,4.57 ,4.71 ,4.64 ,4.64 ,4.62 ,4.63 ,1.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
