,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SITE ID,COUNTY,UTM-E,UTM-N,SITE NAME,CITY,MEAN. ,  1ST  ,  2ND  ,  3RD  ,  4TH  ,OBSV,Complete
45-003-1001,AIKEN,417056,3699183,BEECH ISLAND FIRE STATION,,40,93,88,74,67,46,75%
45-013-0007,BEAUFORT,530355,3588470,BEAUFORT KING STREET,BEAUFORT,27,60,47,47,45,55,90%
45-019-0003,CHARLESTON,595649,3638503,JENKINS AV. FIRE STATION,NORTH CHARLESTON,41,87,83,78,71,57,93%
45-019-0046,CHARLESTON,625554,3645337,CAPE ROMAIN WILDLIFE REFUGE,,26,71,59,51,51,58,95%
45-019-0047,CHARLESTON,598473,3634157,U S NAVAL BASE ,NORTH CHARLESTON,35,76,75,62,60,59,97%
45-033-0001,DILLON,649208,3809572,DILLON CITY-COUNTY OFFICE BLDG.,DILLON,38,62,33,27,0,3,50%
45-041-0001,FLORENCE,610696,3784358,FLORENCE COUNTY HEALTH DEPT,FLORENCE,40,95,70,69,67,60,98%
45-043-0002,GEORGETOWN,658389,3693255,HOWARD HIGH SCHOOL,GEORGETOWN,45,130,99,99,97,71,97%
45-043-0006,GEORGETOWN,658711,3692520,GEORGETOWN CMS,GEORGETOWN,73,158,157,138,124,60,82%
45-043-0007,GEORGETOWN,658375,3690944,MARYVILLE POWER SUB STATION,GEORGETOWN,26,66,49,45,44,71,97%
45-043-0009,GEORGETOWN,659490,3693858,WINYAH,GEORGETOWN,46,158,138,136,118,69,95%
45-045-0008,GREENVILLE,371736,3855846,GREENVILLE HEALTH DEPT,GREENVILLE,38,139,76,68,61,51,84%
45-045-2002,GREENVILLE,387723,3866851,1ST BAPTIST CHURCH ANNEX,GREER,32,103,77,71,71,56,92%
45-047-0001,GREENWOOD,393814,3782427,GREENWOOD COUNTY DSS,GREENWOOD,32,297,77,60,60,55,90%
45-047-0002,GREENWOOD,393053,3780864,PREMIER ROAD,,32,62,59,57,56,58,95%
45-049-0001,HAMPTON,489216,3637122,HAMPTON I,HAMPTON,37,83,74,67,66,55,90%
45-051-0002,HORRY,696737,3731000,MYRTLE BEACH EQC OFFICE,MYRTLE BEACH,32,81,58,56,54,53,87%
45-059-0001,LAURENS,406283,3818121,LAURENS COUNTY OFFICE COMPLEX,LAURENS,25,63,54,49,43,60,98%
45-063-0005,LEXINGTON,488916,3738007,SALTECH ,,31,67,64,62,61,53,87%
45-063-1002,LEXINGTON,493969,3758514,CAYCE FIRE STATION,CAYCE,42,125,81,73,72,57,93%
45-079-0006,RICHLAND,497871,3762547,"SC DEPT. PROBATION, PAROLE",COLUMBIA,40,91,81,67,67,57,93%
45-079-0007,RICHLAND,503485,3772372,PARKLANE,COLUMBIA,33,88,74,74,59,60,98%
45-079-0014,RICHLAND,498204,3760083,ENRIGHT (REX) ATHLETIC CENTER,COLUMBIA,43,124,122,120,100,56,92%
45-079-0021,RICHLAND,520258,3741410,CONGAREE BLUFF*,,22,48,41,38,37,47,85%
45-079-1006,RICHLAND,516067,3741587,CONGAREE SWAMP NATIONAL MONUMENT*,,15,19,16,13,12,4,67%
45-083-0001,SPARTANBURG,414850,3867421,SPARTANBURG CITY HALL,SPARTANBURG,36,86,84,76,74,54,89%
45-085-0001,SUMTER,561238,3753536,SUMTER COUNTY HEALTH DEPARTMENT,SUMTER,34,83,59,58,57,59,97%
45-091-0005,YORK,499924,3868718,ROCK HILL WATER FILTER PLANT,ROCK HILL,41,86,75,68,62,58,95%
,,,,,,,,,,,,
,,,,,Average,36,,,,Average,54,91.6%
,,,,,,,,,,,,
,,,,,,Max,297,158,158,157,,
