,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SITE ID,COUNTY,UTM-E,UTM-N,SITE NAME,CITY,OBSV.,MEAN,OBSV.,MEAN,OBSV.,MEAN,OBSV.,MEAN,OBSV.,% COMPLETE
45-003-1001,AIKEN,417056,3699183,BEECH ISLAND FIRE STATION,,14,0.00,12,0.01,11,0.00,9,0.00,46,75%
45-013-0007,BEAUFORT,530355,3588470,BEAUFORT KING STREET,BEAUFORT,15,0.00,14,0.00,13,0.00,13,0.00,55,90%
45-019-0003,CHARLESTON,595649,3638503,JENKINS AV. FIRE STATION,NORTH CHARLESTON,15,0.02,14,0.01,13,0.01,15,0.01,57,93%
45-019-0046,CHARLESTON,625554,3645337,CAPE ROMAIN WILDLIFE REFUGE,,15,0.00,14,0.00,14,0.00,15,0.00,58,95%
45-019-0047,CHARLESTON,598473,3634157,U S NAVAL BASE ,NORTH CHARLESTON,15,0.02,14,0.01,15,0.01,15,0.01,59,97%
45-033-0001,DILLON,649208,3809572,DILLON CITY-COUNTY OFFICE BLDG.,DILLON,3,0.05,,,,,,,3,50%
45-041-0001,FLORENCE,610696,3784358,FLORENCE COUNTY HEALTH DEPT.,FLORENCE,16,0.01,15,0.01,15,0.01,14,0.01,60,98%
45-043-0002,GEORGETOWN,658389,3693255,HOWARD HIGH SCHOOL,GEORGETOWN,24,0.01,17,0.01,15,0.00,15,0.01,71,97%
45-043-0006,GEORGETOWN,658711,3692520,GEORGETOWN CMS,GEORGETOWN,20,0.01,13,0.01,12,0.01,15,0.01,60,82%
45-043-0007,GEORGETOWN,658375,3690944,MARYVILLE POWER SUB STATION,GEORGETOWN,26,0.00,17,0.00,14,0.00,14,0.00,71,97%
45-043-0009,GEORGETOWN,659490,3693858,WINYAH,GEORGETOWN,24,0.01,15,0.02,15,0.02,15,0.01,69,95%
45-045-0008,GREENVILLE,371736,3855846,GREENVILLE HEALTH DEPT.,GREENVILLE,16,0.02,11,0.01,12,0.01,12,0.01,51,84%
45-045-2002,GREENVILLE,387723,3866851,1ST BAPTIST CHURCH ANNEX,GREER,15,0.00,13,0.00,15,0.01,13,0.01,56,92%
45-047-0001,GREENWOOD,393814,3782427,GREENWOOD COUNTY DEPT.,GREENWOOD,15,0.01,11,0.01,15,0.00,14,0.01,55,90%
45-047-0002,GREENWOOD,393053,3780864,PREMIER ROAD,,15,0.02,15,0.02,14,0.02,14,0.02,58,95%
45-049-0001,HAMPTON,489216,3637122,HAMPTON I,HAMPTON,15,0.00,12,0.00,14,0.00,14,0.00,55,90%
45-051-0002,HORRY,696737,3731000,MYRTLE BEACH EQC OFFICE,MYRTLE BEACH,16,0.01,13,0.01,11,0.00,13,0.01,53,87%
45-059-0001,LAURENS,406283,3818121,LAURENS COUNTY OFFICE COMPLEX,LAURENS,16,0.01,14,0.00,15,0.00,15,0.00,60,98%
45-063-0005,LEXINGTON,488916,3738007,SALTECH,,14,0.01,14,0.01,12,0.01,13,0.01,53,87%
45-063-1002,LEXINGTON,493969,3758514,CAYCE FIRE STATION,CAYCE,15,0.02,15,0.01,12,0.01,15,0.01,57,93%
45-079-0006,RICHLAND,497871,3762547,"SC DEPT. PROBATION, PAROLE",COLUMBIA,14,0.04,15,0.01,14,0.00,14,0.01,57,93%
45-079-0007,RICHLAND,503485,3772372,PARKLANE ,COLUMBIA,16,0.01,15,0.00,14,0.07,15,0.00,60,98%
45-079-0014,RICHLAND,498204,3760083,ENRIGHT (REX) ATHLETIC CENTER,COLUMBIA,15,0.01,14,0.01,14,0.01,13,0.01,56,92%
45-079-0021,RICHLAND,520258,3741410,CONGAREE BLUFF*,,9,0.00,15,0.00,11,0.00,12,0.00,47,85%
45-079-1006,RICHLAND,516067,3741587,CONGAREE SWAMP NATIONAL MONUMENT*,,4,0.00,,,,,,,4,67%
45-083-0001,SPARTANBURG,414850,3867421,SPARTANBURG CITY HALL,SPARTANBURG,14,0.01,14,0.01,13,0.01,13,0.01,54,89%
45-085-0001,SUMTER,561238,3753536,SUMTER COUNTY HEALTH DEPARTMENT,SUMTER,15,0.01,15,0.01,15,0.00,14,0.01,59,97%
45-091-0005,YORK,499924,3868718,ROCK HILL WATER FILTER PLANT,ROCK HILL,16,0.04,14,0.01,15,0.01,13,0.01,58,95%
,,,,,,,,,,,,,,,
,,,,,Averages,15,0.01,14,0.01,14,0.01,14,0.01,54,85.2%
