,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State ,County,FIPS,Urban or Rural,5th,10th,25th,Median,Average,75th,90th,95th,Major,Area and Other,Onroad Mobile,Nonroad Mobile,Estimated Background
Indiana,Marion County,18097,U,5.40E+00,5.72E+00,6.12E+00,6.47E+00,6.43E+00,6.83E+00,7.23E+00,7.65E+00,9.68E-03,3.72E-01,4.46E+00,1.56E+00,2.53E-02
National,All Urban Counties,99998,U,7.35E-01,1.41E+00,2.72E+00,4.62E+00,6.11E+00,7.39E+00,1.19E+01,1.73E+01,1.67E-01,9.60E-01,2.91E+00,2.06E+00,2.50E-02
Indiana,Lake County,18089,U,3.43E+00,4.33E+00,5.01E+00,5.40E+00,5.41E+00,6.14E+00,6.94E+00,7.37E+00,1.49E-02,3.50E-01,3.82E+00,1.20E+00,2.50E-02
National,All,99999,-,3.86E-01,9.31E-01,1.92E+00,3.74E+00,5.36E+00,6.50E+00,1.09E+01,1.54E+01,1.42E-01,9.77E-01,2.49E+00,1.73E+00,2.50E-02
Indiana,Floyd County,18043,U,2.27E+00,3.03E+00,3.91E+00,5.66E+00,4.95E+00,5.96E+00,6.07E+00,6.13E+00,9.90E-01,6.30E-01,2.56E+00,7.45E-01,2.50E-02
Indiana,Clark County,18019,U,2.61E+00,2.79E+00,3.83E+00,5.53E+00,4.82E+00,5.90E+00,6.22E+00,6.25E+00,7.83E-01,5.52E-01,2.61E+00,8.46E-01,2.50E-02
Indiana,Johnson County,18081,U,2.67E+00,2.72E+00,3.48E+00,4.19E+00,4.08E+00,4.68E+00,5.06E+00,5.13E+00,7.22E-03,3.24E-01,2.59E+00,1.13E+00,2.50E-02
Indiana,State Urban Counties,18000,U,1.18E+00,1.55E+00,2.22E+00,3.35E+00,3.79E+00,5.58E+00,6.55E+00,7.00E+00,4.34E-02,3.67E-01,2.52E+00,8.32E-01,2.51E-02
Indiana,Hamilton County,18057,U,2.13E+00,2.42E+00,3.05E+00,4.01E+00,3.78E+00,4.63E+00,4.95E+00,5.01E+00,2.26E-03,2.80E-01,2.56E+00,9.10E-01,2.50E-02
Indiana,Hancock County,18059,U,2.72E+00,2.80E+00,3.29E+00,4.03E+00,3.77E+00,4.07E+00,4.17E+00,4.25E+00,4.31E-03,2.61E-01,2.71E+00,7.64E-01,2.51E-02
Indiana,St. Joseph County,18141,U,2.38E+00,2.79E+00,3.38E+00,3.68E+00,3.51E+00,3.93E+00,4.22E+00,4.37E+00,2.27E-03,3.30E-01,2.27E+00,8.77E-01,2.53E-02
Indiana,Hendricks County,18063,U,2.07E+00,2.23E+00,2.77E+00,3.44E+00,3.48E+00,4.06E+00,4.29E+00,4.32E+00,4.09E-03,2.53E-01,2.30E+00,9.02E-01,2.47E-02
Indiana,Vanderburgh County,18163,U,2.63E+00,2.85E+00,3.18E+00,3.49E+00,3.45E+00,3.74E+00,3.96E+00,4.18E+00,3.57E-03,4.63E-01,2.33E+00,6.25E-01,2.53E-02
Indiana,Porter County,18127,U,1.39E+00,1.95E+00,2.30E+00,3.32E+00,3.37E+00,3.81E+00,4.20E+00,4.30E+00,1.56E-02,3.30E-01,2.33E+00,6.67E-01,2.51E-02
Indiana,Monroe County,18105,U,2.08E+00,2.43E+00,2.84E+00,3.38E+00,3.35E+00,3.97E+00,4.43E+00,4.49E+00,5.45E-04,9.26E-01,1.74E+00,6.60E-01,2.50E-02
Indiana,State Total,18000,-,8.65E-01,1.05E+00,1.56E+00,2.63E+00,3.21E+00,4.39E+00,6.41E+00,6.77E+00,3.52E-02,3.61E-01,2.09E+00,6.92E-01,2.51E-02
Indiana,Elkhart County,18039,R,2.11E+00,2.16E+00,2.60E+00,3.03E+00,3.01E+00,3.46E+00,3.71E+00,3.91E+00,6.31E-03,2.82E-01,1.99E+00,7.07E-01,2.53E-02
Indiana,Dearborn County,18029,U,2.12E+00,2.13E+00,2.63E+00,3.17E+00,2.93E+00,3.29E+00,3.42E+00,3.47E+00,7.96E-02,6.94E-01,1.45E+00,6.84E-01,2.43E-02
Indiana,Morgan County,18109,U,2.25E+00,2.46E+00,2.59E+00,2.85E+00,2.85E+00,3.09E+00,3.61E+00,3.63E+00,4.68E-03,5.23E-01,1.60E+00,7.01E-01,2.45E-02
