Ref #,Labor Group,Labor Category,Contractor Site (CONUS) Rates,Government Site (CONUS) Rates,Overseas Rates
1,Administrative Services,Administrative Support (Level I),$54.46,$46.31,$46.31
2,Administrative Services,Documentation Specialist - Technical Writer (Level I),$41.88,$35.62,$35.62
3,Administrative Services,Documentation Specialist - Technical Writer (Level II),$54.46,$46.31,$46.31
4,Administrative Services,Documentation Specialist - Technical Writer (Level III),$74.54,$63.41,$63.41
5,Administrative Services,Graphics Specialist (Level I),$37.49,$31.88,$31.88
6,Administrative Services,Graphics Specialist (Level II),$67.36,$57.31,$57.31
7,Administrative Services,Graphics Specialist (Level III),$84.87,$72.19,$72.19
8,Administrative Services,Electronic Input Operator (Level I),$36.54,$31.08,$31.08
9,Administrative Services,Electronic Input Operator (Level II),$43.18,$36.73,$36.73
10,Administrative Services,Electronic Input Operator (Level III),$61.75,$52.53,$52.53
11,Business Services,Business Case Analysis Specialist (Level I),$54.89,$46.68,$46.68
12,Business Services,Business Case Analysis Specialist (Level II),$64.00,$54.44,$54.44
13,Business Services,Business Case Analysis Specialist (Level III),$151.69,$129.01,$129.01
14,Business Services,Principal Business Process Reengineering Specialist (Level II),$126.24,$107.36,$107.36
15,Business Services,Principal Business Process Reengineering Specialist (Level III),$151.51,$128.86,$128.86
16,Business Services,Principal Business Process Reengineering Specialist (Level IV),$180.53,$180.53,$180.53
17,Business Services,Strategic Planner (Level II),$64.81,$55.14,$55.14
18,Business Services,Strategic Planner (Level III),$163.27,$138.87,$138.87
19,Business Services,Strategic Planner (Level IV),$209.33,$209.33,$209.33
20,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (III),$177.10,$177.10,$177.10
21,Business Services,Enterprise Resource Planning (ERP) Analyst/Modeler (IV),$332.66,$332.66,$332.66
22,Business Services,Enterprise Resource Planning Specialist (Level IV),$332.66,$332.66,$332.66
23,Client Relationship Management,Information Services Specialist (Level IV),$157.49,$157.49,$157.49
24,Client Relationship Management,Project Manager (Level I),$105.53,$89.75,$89.75
25,Client Relationship Management,Project Manager (Level II),$122.67,$104.34,$104.34
26,Client Relationship Management,Project Manager (Level III),$140.08,$119.15,$119.15
27,Client Relationship Management,Project Manager (Level IV),$209.81,$209.81,$209.81
28,Client Relationship Management,Task Order Manager (Level I),$82.11,$69.83,$69.83
29,Client Relationship Management,Task Order Manager (Level II),$98.56,$83.85,$83.85
30,Client Relationship Management,Task Order Manager (Level III),$109.24,$92.90,$92.90
31,Client Relationship Management,Task Order Manager (Level IV),$163.27,$163.27,$163.27
32,Data/Configuration Management,Data/Configuration Management Specialist (Level I),$54.81,$46.63,$46.63
33,Data/Configuration Management,Data/Configuration Management Specialist (Level II),$72.45,$61.62,$61.62
34,Data/Configuration Management,Data/Configuration Management Specialist (Level III),$126.24,$107.36,$107.36
35,Education and Training,Curriculum Developer (Level II),$83.86,$71.32,$71.32
36,Education and Training,Curriculum Developer (Level III),$111.86,$95.13,$95.13
37,Education and Training,Training Facilitator (Level I),$52.70,$44.82,$44.82
38,Education and Training,Training Facilitator (Level II),$106.25,$90.36,$90.36
39,Education and Training,Training Facilitator (Level III),$131.37,$111.71,$111.71
40,Information Assurance,Disaster Recovery Specialist (Level II),$75.10,$63.86,$63.86
41,Information Assurance,Disaster Recovery Specialist (Level III),$129.68,$110.29,$110.29
42,Information Assurance,Information Assurance Devlopment Engineer (Level II),$78.56,$66.83,$66.83
43,Information Assurance,Information Assurance Devlopment Engineer (Level III),$163.44,$163.44,$163.44
44,Information Assurance,Information Assurance Network Specialist (Level I),$60.17,$51.18,$51.18
45,Information Assurance,Information Assurance Network Specialist (Level II),$84.87,$72.19,$72.19
46,Information Assurance,Information Assurance Network Specialist (Level III),$143.34,$121.92,$121.92
47,Information Assurance,Information Security Business Analyst (Level II),$72.44,$61.59,$61.59
48,Information Assurance,Information Security Business Analyst (Level III),$208.79,$208.79,$208.79
49,Information Assurance,Operations Systems Security Specialist (Level I),$60.30,$51.29,$51.29
50,Information Assurance,Operations Systems Security Specialist (Level II),$138.30,$117.63,$117.63
51,Information Assurance,Operations Systems Security Specialist (Level III),$173.59,$147.64,$147.64
52,Information Assurance,Threat Specialist (Level I),$138.30,$117.63,$117.63
53,Information Assurance,Threat Specialist (Level II),$161.56,$137.41,$137.41
54,Information Assurance,Threat Specialist (Level III),$220.50,$220.50,$220.50
55,Information Assurance,Business Continuity Planner (Level II),$83.95,$71.39,$71.39
56,Information Assurance,Business Continuity Planner (Level III),$157.49,$133.96,$133.96
57,Operations/Network Support,Client/Server Network Architect (Level II),$71.59,$60.87,$60.87
58,Operations/Network Support,Client/Server Network Architect (Level III),$125.97,$107.13,$107.13
59,Operations/Network Support,Communication Facilities Engineer (Level II),$79.59,$67.71,$67.71
60,Operations/Network Support,Communication Facilities Engineer (Level III),$113.35,$96.40,$96.40
