book name,charts,macros,input,errors,boolean,dates,real,integer,string,blank,referenced,formula,errors,boolean,dates,real,integer,string,blank,referencing,referenced,sumif,countif,choose,hlookup,index,indirect,lookup,match,offset,if,Problem cells,Problem Book,
.%5Ccg004.xls,No,No,60,0,0,0,0,0,60,0,5,16,0,0,0,0,16,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,Yes,
..%5Cdownloads%5Csort#A91F7.xls,No,No,3980,0,0,0,0,3283,697,0,3252,132,0,0,0,115,17,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,No,
_h8d62ck10a9im6rrddli#A7DD7.xls,No,No,405,0,0,59,5,196,145,0,200,320,0,0,0,211,45,64,0,320,256,0,0,0,0,0,0,0,0,0,64,0,No,
"0,2461,FI2745%255FSI5#A7B7B.xls",No,No,36,0,0,0,2,13,21,0,0,17,0,0,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,Yes,
0001tab22w.xls,No,No,329,0,0,0,179,76,74,0,212,42,0,0,0,36,6,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,No,
00061r0P802-15_TG2-Un#A7F69.xls,No,No,430,0,0,0,1,3,426,0,1,61,0,0,0,0,61,0,0,61,60,0,0,0,0,0,0,0,0,0,0,0,No,
00061r5P802-15_TG2-Un#A7F6C.xls,No,No,529,0,0,0,1,3,525,0,1,71,0,0,0,0,71,0,0,71,70,0,0,0,0,0,0,0,0,0,0,0,No,
00-323r2.xls,No,No,159,0,0,0,36,18,105,0,52,110,0,0,0,101,9,0,0,109,92,0,0,0,0,0,0,0,0,0,0,0,No,
00agm-CAEALfs.xls,No,No,421,0,0,2,48,149,222,0,0,22,0,0,2,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,
00sumdat.xls,No,No,2646,0,0,20,605,1084,937,0,697,290,0,0,0,275,15,0,0,290,46,0,0,0,0,0,0,0,0,0,0,0,No,
