SUBCLIN,LABOR CATEGORY,Year 3- 04/01/1999-31/03/2000,Year 4- 04/01/2000-31/03/2001,Year 5- 04/01/2001-31/03/2002,Year 6- 04/01/2002-30/09/2002
000301,Managing Principal Business Consultant, $261.30 , $269.82 , $278.84 , $288.21
000302,Principal Business Consultant, $204.74 , $211.33 , $218.31 , $225.57
000303,Managing Business Consultant, $168.54 , $173.91 , $179.59 , $185.49
000304,Senior Business Consultant, $143.32 , $147.82 , $152.59 , $157.55
000305,Business Consultant, $112.94 , $116.41 , $120.08 , $123.91
000306,Associate Business Consultant, $81.58 , $83.96 , $86.50 , $89.14
000307,Service Delivery Leader, $148.43 , $153.12 , $158.07 , $163.22
000308,Performance Specialist, $143.32 , $147.82 , $152.59 , $157.55
000309,Training Specialist , $84.96 , $87.57 , $90.34 , $93.23
000310,Training Specialist I, $72.70 , $74.86 , $77.15 , $79.56
000311,Technical Writer/Editor, $71.37 , $73.31 , $75.37 , $77.53
000312,Administrative Support, $55.11 , $56.50 , $57.97 , $59.52
000313,Technology Specialist, $107.73 , $111.17 , $114.87 , $118.75
