SUBCLIN,Labor Category,4/1/99-3/31/00,4/1/00-3/31/01,4/1/01-3/31/02,4/1/02-3/31/03,4/1/03-3/31/04
000201,Account Manager, $95.83 , $99.09 , $102.46 , $105.95 , $109.54
000202,Account Operations Manager, $66.81 , $69.08 , $71.43 , $73.86 , $76.37
000203,Administrative Assistant I, $32.97 , $34.09 , $35.25 , $36.44 , $37.68
000204,Administrative Assistant II, $37.75 , $39.04 , $40.36 , $41.73 , $43.15
000205,Advanced Operator, $40.75 , $42.14 , $43.57 , $45.05 , $46.58
000206,Auditor - Quality Assurance, $46.84 , $48.43 , $50.09 , $51.78 , $53.54
000207,Business Analyst, $35.56 , $36.77 , $38.03 , $39.32 , $40.65
000208,Business Analyst - Adv, $51.21 , $52.95 , $54.75 , $56.61 , $58.54
000209,Business Analyst - Sr, $66.44 , $68.70 , $71.03 , $73.45 , $75.95
000210,Business Planning Manager, $88.45 , $91.46 , $94.57 , $97.78 , $101.10
000211,Business Relations Manager I, $58.94 , $60.95 , $63.02 , $65.17 , $67.38
000212,Business Relations Manager II, $80.92 , $83.67 , $86.52 , $89.46 , $92.50
000213,Business Support Manager, $58.80 , $60.80 , $62.86 , $65.00 , $67.22
000214,Communications Admin, $42.04 , $43.46 , $44.95 , $46.47 , $48.06
000215,Communications Analyst, $53.33 , $55.15 , $57.02 , $58.96 , $60.96
000216,Communications Engr, $54.31 , $56.16 , $58.06 , $60.04 , $62.08
000217,Communications Engr - Sr, $75.95 , $78.53 , $81.20 , $83.96 , $86.82
000218,Communications Engr - Adv, $62.58 , $64.71 , $66.91 , $69.19 , $71.54
000219,Communications Manager I, $64.06 , $66.25 , $68.50 , $70.82 , $73.24
000220,Communications Manager II, $90.57 , $93.65 , $96.83 , $100.12 , $103.53
000221,Communications Tech, $42.39 , $43.83 , $45.33 , $46.86 , $48.46
000222,Computer Graphic Artist, $24.62 , $25.46 , $26.33 , $27.22 , $28.15
000223,Computer Operator, $27.95 , $28.90 , $29.88 , $30.90 , $31.95
000224,Data Analyst, $38.85 , $40.18 , $41.54 , $42.96 , $44.41
000225,Data Base Administrator, $67.96 , $70.27 , $72.66 , $75.12 , $77.68
000226,Data Entry Operator, $15.82 , $16.35 , $16.91 , $17.48 , $18.08
000227,DP Installation Manager, $70.58 , $72.97 , $75.46 , $78.02 , $80.68
000228,Engineering SE    , $45.88 , $47.45 , $49.06 , $50.72 , $52.45
000229,Engineering SE - Adv    , $66.96 , $69.24 , $71.59 , $74.02 , $76.54
000230,Enterprise Architect/Sr Staff, $103.79 , $107.31 , $110.96 , $114.74 , $118.63
000231,Field Service Tech, $34.65 , $35.83 , $37.05 , $38.31 , $39.61
000232,Financial Analyst, $39.72 , $41.08 , $42.47 , $43.91 , $45.41
000233,Financial Analyst - Adv, $50.28 , $51.98 , $53.75 , $55.58 , $57.47
000234,Financial Analyst - Sr, $58.58 , $60.57 , $62.63 , $64.75 , $66.95
000235,General Office Clerk, $14.81 , $15.31 , $15.83 , $16.37 , $16.93
000236,Govt Advisory Specialist Manager, $132.12 , $136.61 , $141.26 , $146.06 , $151.03
000237,Govt Advisory Service Manager, $94.75 , $97.97 , $101.30 , $104.75 , $108.31
000238,Govt Advisory Serv Strat Manager, $224.26 , $231.89 , $239.77 , $247.92 , $256.35
000239,Govt Advisory Specialist - Sr, $82.94 , $85.76 , $88.68 , $91.69 , $94.81
000240,Govt Advisory Specialist, $63.90 , $66.07 , $68.32 , $70.64 , $73.04
000241,Graphic Designer, $42.58 , $44.03 , $45.52 , $47.07 , $48.67
000242,Hardware Planning Analyst, $49.85 , $51.55 , $53.31 , $55.12 , $56.99
000243,Hardware Planning Manager, $80.54 , $83.28 , $86.11 , $89.04 , $92.07
000244,Info Modeling Analyst, $74.35 , $76.87 , $79.49 , $82.19 , $84.98
000245,Info Security Analyst, $45.92 , $47.49 , $49.11 , $50.77 , $52.50
000246,Info Security Analyst - Adv, $58.51 , $60.50 , $62.56 , $64.69 , $66.88
000247,Info Security Master, $84.95 , $87.84 , $90.83 , $93.92 , $97.11
000248,Information Analyst, $53.19 , $54.99 , $56.86 , $58.80 , $60.80
000249,Information Specialist, $63.69 , $65.86 , $68.09 , $70.42 , $72.81
000250,Information Specialist - Sr, $73.25 , $75.73 , $78.31 , $80.97 , $83.72
000251,Infrastructure Analyst, $59.60 , $61.62 , $63.72 , $65.88 , $68.12
000252,Infrastructure Specialist - Sr, $84.93 , $87.82 , $90.81 , $93.90 , $97.09
000253,Network Ops Supervisor, $56.94 , $58.88 , $60.88 , $62.95 , $65.09
000254,Newtork Ops Manager, $81.52 , $84.29 , $87.15 , $90.12 , $93.18
000255,Ops Tech Analyst, $46.59 , $48.18 , $49.81 , $51.51 , $53.26
000256,Ops Tech Consultant, $72.07 , $74.53 , $77.06 , $79.68 , $82.40
000257,Ops Tech Specialist, $50.21 , $51.92 , $53.68 , $55.51 , $57.40
000258,Project Manager , $74.49 , $77.02 , $79.64 , $82.35 , $85.14
000259,Program Manager , $104.17 , $107.72 , $111.38 , $115.17 , $119.08
000260,Quality Assurance Analyst, $33.63 , $34.77 , $35.96 , $37.18 , $38.44
000261,Quality Assurance Manager, $64.48 , $66.67 , $68.94 , $71.29 , $73.71
000262,Quality Assurance Specialist, $46.21 , $47.78 , $49.40 , $51.09 , $52.82
000263,Quality Control Manager, $80.32 , $83.04 , $85.87 , $88.79 , $91.81
000264,Research Associate, $25.00 , $25.85 , $26.72 , $27.63 , $28.57
000265,Research Engineer, $74.27 , $76.79 , $79.40 , $82.09 , $84.89
000266,SE, $52.69 , $54.48 , $56.33 , $58.25 , $60.23
000267,SE - Advanced, $66.55 , $68.81 , $71.14 , $73.57 , $76.06
000268,SE - Associate, $42.74 , $44.20 , $45.70 , $47.26 , $48.86
000269,SE - Consultant, $102.56 , $106.04 , $109.65 , $113.37 , $117.23
000270,SE - Database, $63.22 , $65.37 , $67.59 , $69.88 , $72.27
000271,SE - Senior, $77.55 , $80.18 , $82.91 , $85.73 , $88.65
000272,SE Manager I, $75.57 , $78.14 , $80.80 , $83.55 , $86.39
000273,SE Manager II, $86.68 , $89.63 , $92.68 , $95.83 , $99.08
000274,SED Business Associate, $41.00 , $42.39 , $43.83 , $45.32 , $46.86
000275,SED Technical Associate, $44.22 , $45.72 , $47.28 , $48.88 , $50.55
000276,Senior Engineer, $70.48 , $72.87 , $75.35 , $77.91 , $80.56
000277,Software SE, $54.15 , $55.98 , $57.89 , $59.85 , $61.89
000278,Software SE - Advanced, $66.83 , $69.10 , $71.46 , $73.89 , $76.40
