COUNTRY,HOST UNIVERSITY,COURSE NUMBER AND TITLE AT OVERSEAS INSTITUTION,COURSE EQUIVALENCY AT US INSTITUTION,FIELD OF STUDY,US INSTITUTION,SEMESTER
Denmark,Denmark Technical University,49215 Biomedical Engineering,BME 310 Bioinstrumentation,Other Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,59318 Structural Dynamics,EMA 202 Dynamics,Other Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,76510 Risk and Decision Analysis,IE 691 Special Topics in Industrial Engineering,Industrial Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,85381 Management of Environmental and Working Environment,IE 691 Special Topics in Industrial Engineering,Industrial Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,10454 Perspectives in Modern Physics,Physics 202 Modern Physics,Other,University of Wisconsin,#
Denmark,Denmark Technical University,70215 CAD/CAM ,Mechanical Engineering 232 Geometric Modeling,Mechanical Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,80206 Integrated Manufacturing,IE 415 Intro Manufacturing System Design,Industrial Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,91721 Fluid Mechanics,Mechanical Engineering 363 Fluid Mechanics or CEE 310 ,Mechanical Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,72401 Engineering Design Projects,IE 476 Industrial Engineering Projects,Industrial Engineering,University of Wisconsin,#
Denmark,Denmark Technical University,83493 Industrial Environmental Management,IE 692 Special Topics in Human Factors,Other,University of Wisconsin,#
Denmark,Denmark Technical University,94545 Information Technology,IE 693 Special Topics in Quantative Methods,Other,University of Wisconsin,#
Denmark,Denmark Technical University,49280 Computer Organization and Design,ECE 552 Introduction to Computer Architecture,Other,University of Wisconsin,#
Denmark,Denmark Technical University,Danish Language 102,Soc. Studies 121,Other,University of Wisconsin,#
Denmark,Denmark Technical University,Jews in Europe,Jewish Studies 220 Introduction to Modern Jewish History,Other,University of Wisconsin,#
Denmark,Denmark Technical University ,72402 (Applied Mathematics),Mechanical Engineering 499,Mechanical Engineering,University of Washington,#
Denmark,Denmark Technical University ,72404 (Product Innovation),Mechanical Engineering 498,Mechanical Engineering,University of Washington,#
Denmark,Denmark Technical University ,92811 (WEB Technology 1) ,Mechanical Engineering 496,Mechanical Engineering,University of Washington,#
France,Ecole Nationale Superieure de Mecanique et d'Aerotechnique (ENSMA),Aerodynamique , Aero 325  Aerodynamics,Other,University of Michigan,Fall 1999
France,Ecole Nationale Superieure de Mecanique et d'Aerotechnique (ENSMA),Mecanique des Fluides,Aero 225  Introduction to Gas Dynamics,Other,University of Michigan,Fall 1999
France,Ecole Nationale Superieure de Mecanique et d'Aerotechnique (ENSMA),Mecanique des Structures-Vibrations,Technical Elective,Other,University of Michigan,Fall 1999
Mexico,Instituto Tecnologico ye de Estudios Superiores de Monterrey,International Business - Free Elective,Business 3XX,Other,University of Michigan,Fall 1999
Mexico,Instituto Tecnologico ye de Estudios Superiores de Monterrey,Doing Business in Mexico - Free Elective,Business 3XX,Other,University of Michigan,Fall 1999
