ISBN,Author,Title,Cover,PubDate,GBP
0 521 78238 4,Bengtsson,Geosphere-Biosphere Interactions and Climate,Hardback,2002,50.00
0 521 81373 5,Bennett,Inverse Modeling of the Ocean and Atmosphere,Hardback,2002,60.00
0 521 80036 6,Bogardi,"Risk, Reliability, Uncertainty and Robustness of Water Resource Systems",Hardback,2002,75.00
0 521 58308 X,Campbell,Radar Remote Sensing of Planetary Surfaces,Hardback,2002,70.00
0 521 89118 3,Courtillot,Evolutionary Catastrophes,Paperback,2002,11.95
0 521 81830 3,Davis,Plasticity and Geomechanics,Hardback,2002,60.00
0 521 81333 6,Dowdeswell,Islands of the Arctic,Hardback,2002,25.00
0 521 77245 1,Eagleson,Ecohydrology,Hardback,2002,80.00
0 521 81210 0,Enting,Inverse Problems in Atmospheric Constituent Transport,Hardback,2002,75.00
8 483 23305 3,Freeman,Las tormentas en el espacio,Paperback,2002,9.95
0 521 01122 1,Houghton,The Physics of Atmospheres,Paperback,2002,22.95
0 521 80456 6,Houghton,The Physics of Atmospheres,Hardback,2002,60.00
0 521 33083 1,Hunsucker,The High-Latitude Ionosphere and its Effects on Radio Propagation,Hardback,2002,100.00
0 521 01044 6,Jacobson,Atmospheric Pollution,Paperback,2002,29.95
0 521 81171 6,Jacobson,Atmospheric Pollution,Hardback,2002,80.00
0 521 56284 8,Julien,River Mechanics,Hardback,2002,80.00
0 521 52970 0,Julien,River Mechanics,Paperback,2002,29.95
0 521 79179 0,Kalnay,"Atmospheric Modeling, Data Assimilation and Predictability",Hardback,2002,80.00
0 521 79629 6,Kalnay,"Atmospheric Modeling, Data Assimilation and Predictability",Paperback,2002,29.95
0 521 00663 5,Kennett,The Seismic Wavefield,Paperback,2002,24.95
0 521 80945 2,Kennett,The Seismic Wavefield,Hardback,2002,70.00
0 521 66215 X,Le Maitre,Igneous Rocks: A Classification and Glossary of Terms,Hardback,2002,45.00
0 521 66125 0,Lowman Jr.,"Exploring Space, Exploring Earth",Hardback,2002,80.00
