STID,STATE,Th.,Sa.,Su.,Th.,Sa.,Su.,Th.,Sa.,Su.
1,Alabama,394.61,377.10,371.18,394.61,392.68,391.72,394.61,377.12,371.18
5,Arkansas,146.61,134.88,130.97,146.61,145.33,144.68,146.61,134.90,130.97
9,Connecticut,13.91,13.19,12.96,13.91,13.82,13.78,13.91,13.19,12.97
10,Delaware,8.19,6.65,6.13,8.19,8.01,7.93,8.19,6.64,6.14
11,District of Columbia,2.37,2.05,1.95,2.37,2.37,2.37,2.37,2.05,1.96
12,Florida*,229.07,224.34,222.77,600.24,599.32,598.90,600.24,591.36,588.51
13,Georgia,658.43,646.67,642.75,658.43,657.07,656.44,658.43,646.66,642.83
17,Illinois,70.39,66.52,65.23,70.39,69.94,69.72,70.39,66.52,65.23
18,Indiana,137.51,109.78,100.53,137.51,134.39,132.83,137.51,109.80,100.54
19,Iowa,160.54,152.71,150.06,160.54,159.68,159.25,160.54,152.72,150.06
20,Kansas*,100.75,89.52,85.77,395.14,392.60,391.32,395.14,371.91,364.10
21,Kentucky,238.83,209.95,200.33,238.83,235.63,234.14,238.83,209.99,200.35
22,Louisiana,217.40,182.79,171.24,217.40,213.63,211.74,217.40,182.85,171.24
23,Maine,59.87,28.06,17.46,59.87,59.87,59.87,59.87,27.68,18.36
24,Maryland,146.97,138.25,135.34,146.97,145.81,145.28,146.97,138.15,135.57
25,Massachusetts,31.89,20.91,17.25,31.89,30.46,29.80,31.89,20.82,17.49
26,Michigan,100.40,72.17,62.38,100.40,97.57,96.28,100.40,72.10,62.64
27,Minnesota,258.64,254.47,253.07,258.64,258.16,257.93,258.64,254.47,253.07
28,Mississippi,217.85,204.03,199.38,217.85,216.35,215.60,217.85,204.05,199.38
29,Missouri,250.70,247.05,245.84,250.70,250.29,250.08,250.70,247.06,245.84
31,Nebraska*,81.28,78.93,78.14,448.23,447.78,447.56,448.23,444.17,442.81
33,New Hampshire,23.44,14.62,11.68,23.44,22.47,22.03,23.44,14.64,11.68
34,New Jersey,26.62,16.13,12.64,26.62,25.26,24.64,26.62,16.05,12.85
36,New York,94.73,73.66,66.64,94.73,92.09,90.89,94.73,73.54,66.97
37,North Carolina,1287.90,1284.18,1282.94,1287.90,1287.48,1287.29,1287.90,1284.18,1282.95
38,North Dakota*,12.19,10.08,9.37,337.11,336.48,336.17,337.11,331.36,329.44
39,Ohio,196.77,182.66,177.92,196.77,195.11,194.35,196.77,182.62,178.06
40,Oklahoma*,85.07,80.52,79.00,212.67,211.66,211.16,212.67,203.53,200.47
42,Pennsylvania,270.04,250.23,243.63,270.04,269.73,269.59,270.04,250.00,244.19
44,Rhode Island,4.36,4.20,4.15,4.36,4.34,4.33,4.36,4.20,4.15
45,South Carolina,104.46,97.10,94.64,104.46,103.60,103.21,104.46,97.08,94.69
46,South Dakota*,10.89,10.08,9.81,161.82,161.65,161.56,161.82,160.25,159.72
47,Tennessee,346.50,333.48,329.09,346.50,345.01,344.27,346.50,333.48,329.11
48,Texas*,184.66,182.55,181.80,213.20,212.38,211.97,213.20,206.24,203.89
50,Vermont,9.63,8.48,8.09,9.63,9.48,9.41,9.63,8.47,8.12
51,Virginia,428.39,355.78,331.58,428.39,419.63,415.63,428.39,355.52,332.38
54,West Virginia,139.72,120.90,114.63,139.72,137.13,135.96,139.72,120.68,115.16
55,Wisconsin,149.85,121.95,112.65,149.85,146.18,144.35,149.85,121.83,112.70
