,,,,,,,,,,,
,,,,,,,,,,,
Species,CAS No.,ACE No.,"Area 30
ISO-Octene Unit","Area 44
Dimer-           ization Unit","Area 49
North Hydrogen Plant","Area 55
Pentane Shipping Pumps","Area 56
Butane Railcar","Area 57
LHU #1 and Gasoline Hydrotrater","Area 59
No. 3 Reformer Fractionator","Area 60
LHU #2,         SFIA Debutanizer and FCCU Rerun Bottoms Splitter","Area 65
Tank Farm Piping"
Benzene,71-43-2,13,0.000E+00,-6.228E+01,0.000E+00,0.000E+00,0.000E+00,2.474E+01,-1.848E+02,-1.140E+03,1.761E+01
"1,3-Butadiene",106-99-0,20,-5.650E+00,0.000E+00,0.000E+00,0.000E+00,1.573E-02,0.000E+00,0.000E+00,0.000E+00,0.000E+00
Cresol (Mixed),1319-77-3,41,0.000E+00,3.799E-01,0.000E+00,0.000E+00,0.000E+00,1.758E-03,0.000E+00,-2.222E-02,0.000E+00
Hydrogen Cyanide,74-90-8,79,-2.825E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.151E-01,0.000E+00,5.304E-01,0.000E+00
Hydrogen Sulfide,111-65-9,81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.151E-01,0.000E+00,5.304E-01,0.000E+00
Methyl Alcohol,67-56-1,88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
Naphthalene,91-20-3,110,-1.836E+01,2.654E+02,0.000E+00,0.000E+00,0.000E+00,1.034E-01,0.000E+00,2.839E+01,0.000E+00
Phenol,108-95-2,124,0.000E+00,3.911E-01,0.000E+00,0.000E+00,0.000E+00,1.702E-03,-1.329E-01,-8.183E-01,0.000E+00
Propylene,115-07-1,134,-4.944E+02,-5.611E-01,0.000E+00,0.000E+00,9.440E+01,1.718E+00,0.000E+00,-3.503E+02,0.000E+00
Toluene,108-88-3,145,0.000E+00,-2.594E+02,0.000E+00,0.000E+00,0.000E+00,2.589E+01,-1.470E+00,4.688E+02,0.000E+00
Xylenes (Mixed),1330-20-7,151,0.000E+00,-3.610E+02,0.000E+00,0.000E+00,0.000E+00,8.985E+01,0.000E+00,9.765E+02,0.000E+00
,,,,,,,,,,,
,,Area (m2),"15,223","19,321","33,806","48,102","232,378","21,486","18,341","31,110","581,646"
,,1/Area (m-2),6.569E-05,5.176E-05,2.958E-05,2.079E-05,4.303E-06,4.654E-05,5.452E-05,3.214E-05,1.719E-06
,,,,,,,,,,, 
,,,,,,,,,,,
,,,,,,,,,,,
Species,CAS No.,ACE No.,"Area 30
ISO-Octene Unit","Area 44
Dimer-           ization Unit","Area 49
North Hydrogen Plant","Area 55
Pentane Shipping Pumps","Area 56
Butane Railcar","Area 57
LHU #1 and Gasoline Hydrotrater","Area 59
No. 3 Reformer Fractionator","Area 60
LHU #2,        SFIA Debutanizer and FCCU Rerun Bottoms Splitter","Area 65
Tank Farm Piping"
Benzene,71-43-2,13,0.000E+00,-8.959E-04,0.000E+00,0.000E+00,0.000E+00,3.558E-04,-2.658E-03,-1.640E-02,2.533E-04
"1,3-Butadiene",106-99-0,20,-8.126E-05,0.000E+00,0.000E+00,0.000E+00,2.263E-07,0.000E+00,0.000E+00,0.000E+00,0.000E+00
Cresol (Mixed),1319-77-3,41,0.000E+00,5.464E-06,0.000E+00,0.000E+00,0.000E+00,2.529E-08,0.000E+00,-3.196E-07,0.000E+00
Hydrogen Cyanide,74-90-8,79,-4.063E-09,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.655E-06,0.000E+00,7.629E-06,0.000E+00
Hydrogen Sulfide,111-65-9,81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.655E-06,0.000E+00,7.629E-06,0.000E+00
Methyl Alcohol,67-56-1,88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
Naphthalene,91-20-3,110,-2.641E-04,3.818E-03,0.000E+00,0.000E+00,0.000E+00,1.487E-06,0.000E+00,4.084E-04,0.000E+00
Phenol,108-95-2,124,0.000E+00,5.626E-06,0.000E+00,0.000E+00,0.000E+00,2.448E-08,-1.912E-06,-1.177E-05,0.000E+00
Propylene,115-07-1,134,-7.111E-03,-8.071E-06,0.000E+00,0.000E+00,1.358E-03,2.471E-05,0.000E+00,-5.039E-03,0.000E+00
Toluene,108-88-3,145,0.000E+00,-3.732E-03,0.000E+00,0.000E+00,0.000E+00,3.724E-04,-2.115E-05,6.743E-03,0.000E+00
Xylenes (Mixed),1330-20-7,151,0.000E+00,-5.193E-03,0.000E+00,0.000E+00,0.000E+00,1.292E-03,0.000E+00,1.405E-02,0.000E+00
