GOID,ORF,Gene,ORFDesc,Known Terms,Predicted Term,Type,Nt,p80,Pinit,Pmrf,Deg,LDeg,TDeg,Etdeg,Imp
3723,YAL007C,ERP2,p24 protein involved in membrane trafficking,f:?; p:ER to Golgi transport; c:COPII-coated vesicle,RNA binding,f,230,0.7,0.076708,0.93605,10,5,2,4.7716,N
5198,YAL009W,SPO7,,f:?; p:nuclear organization and biogenesis; p:meiosis; p:sporulation (sensu Saccharomyces); c:integral membrane protein; c:nuclear envelope-endoplasmic reticulum network,structural molecule,f,224,0.9,0.96207,0.995,9,8,4,4.9919,N
123,YAL034C,FUN19,,p:?; f:?; c:?,histone acetyltransferase complex,c,41,0.5,0.76675,0.76675,5,5,2,2,Y
3702,YAL034C,FUN19,,p:?; f:?; c:?,RNA polymerase II transcription factor,f,96,0.4,0.58549,0.58549,5,5,2,2,Y
5667,YAL034C,FUN19,,p:?; f:?; c:?,transcription factor complex,c,91,0.4,0.98416,0.98416,5,5,3,3,Y
5669,YAL034C,FUN19,,p:?; f:?; c:?,TFIID complex,c,15,0.5,0.8354,0.8354,5,5,2,2,N
6352,YAL034C,FUN19,,p:?; f:?; c:?,transcription initiation,p,48,0.4,0.69328,0.69328,5,5,2,2,Y
6367,YAL034C,FUN19,,p:?; f:?; c:?,transcription initiation from Pol II promoter,p,38,0.5,0.6469,0.6469,5,5,2,2,N
16251,YAL034C,FUN19,,p:?; f:?; c:?,general RNA polymerase II transcription factor,f,60,0.4,0.53851,0.53851,5,5,2,2,N
4576,YAL064W,YAL064W,,p:?; f:?; c:?,oligosaccharyl transferase,f,7,0.1,0.41248,0.40778,2,1,1,1,Y
4579,YAL064W,YAL064W,,p:?; f:?; c:?,dolichyl-diphospho-oligosaccharide-protein glycosyltransferase,f,7,0.1,0.41248,0.40778,2,1,1,1,N
3723,YBL004W,UTP20,U3 snoRNP protein,p:?; f:?; c:?,RNA binding,f,230,0.7,0.27071,1,20,13,5,12,Y
3735,YBL004W,UTP20,U3 snoRNP protein,p:?; f:?; c:?,structural constituent of ribosome,f,128,0.6,0.89724,0.68399,20,13,4,4,N
16070,YBL004W,UTP20,U3 snoRNP protein,p:?; f:?; c:?,RNA metabolism,p,256,0.9,0.1782,0.92198,20,18,5,7,N
30515,YBL004W,UTP20,U3 snoRNP protein,p:?; f:?; c:?,snoRNA binding,f,28,0.5,0.022589,1,20,13,2,7.0931,N
30529,YBL004W,UTP20,U3 snoRNP protein,p:?; f:?; c:?,ribonucleoprotein complex,c,165,0.9,0.25487,0.97662,20,17,5,7.0003,N
3688,YBL071C,YBL071C,,p:?; f:?; c:?,DNA replication origin binding,f,6,0.1,0.6525,0.6525,1,1,1,1,N
5664,YBL071C,YBL071C,,p:?; f:?; c:?,origin recognition complex,c,6,0.1,0.6703,0.6703,1,1,1,1,N
6267,YBL071C,YBL071C,,p:?; f:?; c:?,pre-replicative complex formation and maintenance,p,13,0.4,0.51373,0.51373,1,1,1,1,N
6270,YBL071C,YBL071C,,p:?; f:?; c:?,DNA replication initiation,p,22,0.3,0.39611,0.39611,1,1,1,1,N
30529,YBL074C,AAR2,,f:?; p:mRNA splicing; c:?,ribonucleoprotein complex,c,165,0.9,0.96814,0.96814,3,3,3,3,N
4576,YBL082C,RHK1,Dol-P-Man dependent alpha(1-3) mannosyltransferase (putative),f:?; c:endoplasmic reticulum; p:protein amino acid glycosylation,oligosaccharyl transferase,f,7,0.1,0.40778,0.40778,2,2,1,1,Y
4579,YBL082C,RHK1,Dol-P-Man dependent alpha(1-3) mannosyltransferase (putative),f:?; c:endoplasmic reticulum; p:protein amino acid glycosylation,dolichyl-diphospho-oligosaccharide-protein glycosyltransferase,f,7,0.1,0.40778,0.40778,2,2,1,1,N
5478,YBL102W,SFT2,,c:Golgi membrane; f:?; p:Golgi to endosome transport,intracellular transporter,f,25,0.6,0.87359,0.99929,6,3,2,3.0263,Y
5484,YBL102W,SFT2,,c:Golgi membrane; f:?; p:Golgi to endosome transport,SNAP receptor,f,22,0.9,0.87694,0.99803,6,3,2,2.8884,N
3774,YBL106C,SRO77,"yeast homolog of the Drosophila tumor suppressor, lethal giant larvae",f:?; c:?; p:non-selective vesicle exocytosis,motor,f,17,0.8,0.84184,0.84184,4,4,2,2,N
3723,YBR025C,YBR025C,,p:?; f:?; c:cytoplasm,RNA binding,f,230,0.7,0.53887,0.90088,8,7,3,3.9779,Y
30515,YBR025C,YBR025C,,p:?; f:?; c:cytoplasm,snoRNA binding,f,28,0.5,0.028207,0.52559,8,7,1,2,N
5643,YBR027C,YBR027C,,p:?; f:?; c:?,nuclear pore,c,42,0.7,0.74084,0.74084,4,4,2,2,N
3723,YBR065C,ECM2,,f:?; p:cell wall organization and biogenesis; c:?,RNA binding,f,230,0.7,0.064991,0.9968,6,2,1,4.9992,N
16563,YBR065C,ECM2,,f:?; p:cell wall organization and biogenesis; c:?,transcriptional activator,f,26,0.6,0.0040394,0.99989,6,2,0,4,N
30529,YBR065C,ECM2,,f:?; p:cell wall organization and biogenesis; c:?,ribonucleoprotein complex,c,165,0.9,0.99914,0.99899,6,5,5,5,N
3735,YBR094W,YBR094W,,p:?; f:?; c:?,structural constituent of ribosome,f,128,0.6,0.87363,0.87363,5,5,2,2,N
15935,YBR094W,YBR094W,,p:?; f:?; c:?,small ribosomal subunit,c,56,0.5,0.90675,0.99807,5,4,2,3,N
5667,YBR095C,RXT2,,f:?; p:invasive growth; p:mating (sensu Saccharomyces); c:?,transcription factor complex,c,91,0.4,0.8618,0.8618,3,3,2,2,N
16192,YBR108W,YBR108W,,p:?; f:?; c:?,vesicle-mediated transport,p,191,0.9,0.81303,0.90158,3,2,2,2.265,N
3902,YBR150C,TBS1,,p:?; f:?; c:?,DNA-directed RNA polymerase III,f,16,0.2,0.26539,0.26539,1,1,1,1,N
3723,YBR152W,SPP381,"U4/U6/U5 snRNP-associated protein, contains PEST proteolysis motif",f:?; c:spliceosome complex; p:mRNA splicing,RNA binding,f,230,0.7,1,1,18,17,17,17.9999,N
